BILLING_DOC,ANOMALY_TYPE
BILLDOC503647,BILLING_SPIKE
BILLDOC503662,UNDERBILLING
BILLDOC503676,DUPLICATE_CHARGE
BILLDOC503677,DUPLICATE_CHARGE
BILLDOC503678,BILLING_SPIKE
BILLDOC503717,DUPLICATE_CHARGE
BILLDOC503718,DUPLICATE_CHARGE
BILLDOC503761,BILLING_SPIKE
BILLDOC503783,BILLING_SPIKE
BILLDOC503816,DUPLICATE_CHARGE
BILLDOC503817,DUPLICATE_CHARGE
BILLDOC503825,BILLING_SPIKE
BILLDOC503902,UNDERBILLING
BILLDOC503903,UNEXPLAINED_CREDIT
BILLDOC503916,UNDERBILLING
BILLDOC504007,UNEXPLAINED_CREDIT
BILLDOC504013,BILLING_SPIKE
BILLDOC504023,UNEXPLAINED_CREDIT
BILLDOC504074,UNDERBILLING
BILLDOC504092,BILLING_SPIKE
BILLDOC504113,DUPLICATE_CHARGE
BILLDOC504114,DUPLICATE_CHARGE
BILLDOC504115,BILLING_SPIKE
BILLDOC504160,DUPLICATE_CHARGE
BILLDOC504161,DUPLICATE_CHARGE
BILLDOC504189,UNEXPLAINED_CREDIT
BILLDOC504273,BILLING_SPIKE
BILLDOC504361,UNEXPLAINED_CREDIT
BILLDOC504367,UNDERBILLING
BILLDOC504376,DUPLICATE_CHARGE
BILLDOC504377,DUPLICATE_CHARGE
BILLDOC504413,UNEXPLAINED_CREDIT
BILLDOC504430,BILLING_SPIKE
BILLDOC504434,UNEXPLAINED_CREDIT
BILLDOC504438,UNDERBILLING
BILLDOC504449,UNEXPLAINED_CREDIT
BILLDOC504509,BILLING_SPIKE
BILLDOC504517,UNDERBILLING
BILLDOC504543,UNEXPLAINED_CREDIT
BILLDOC504568,BILLING_SPIKE
BILLDOC504582,BILLING_SPIKE
BILLDOC504585,UNEXPLAINED_CREDIT
BILLDOC504610,BILLING_SPIKE
BILLDOC504618,BILLING_SPIKE
BILLDOC504643,UNDERBILLING
BILLDOC504680,UNDERBILLING
BILLDOC504697,UNDERBILLING
BILLDOC504740,BILLING_SPIKE
BILLDOC504749,DUPLICATE_CHARGE
BILLDOC504750,DUPLICATE_CHARGE
BILLDOC504753,DUPLICATE_CHARGE
BILLDOC504754,DUPLICATE_CHARGE
BILLDOC504755,DUPLICATE_CHARGE
BILLDOC504756,DUPLICATE_CHARGE
BILLDOC504787,BILLING_SPIKE
BILLDOC504800,DUPLICATE_CHARGE
BILLDOC504801,DUPLICATE_CHARGE
BILLDOC504862,BILLING_SPIKE
BILLDOC504878,UNEXPLAINED_CREDIT
BILLDOC504904,UNDERBILLING
BILLDOC504981,BILLING_SPIKE
BILLDOC505022,DUPLICATE_CHARGE
BILLDOC505023,DUPLICATE_CHARGE
BILLDOC505064,UNEXPLAINED_CREDIT
BILLDOC505065,UNEXPLAINED_CREDIT
BILLDOC505072,BILLING_SPIKE
BILLDOC505086,UNEXPLAINED_CREDIT
BILLDOC505087,BILLING_SPIKE
BILLDOC505090,UNEXPLAINED_CREDIT
BILLDOC505152,UNEXPLAINED_CREDIT
BILLDOC505165,UNDERBILLING
BILLDOC505221,BILLING_SPIKE
BILLDOC505250,UNDERBILLING
BILLDOC505301,DUPLICATE_CHARGE
BILLDOC505302,DUPLICATE_CHARGE
BILLDOC505314,DUPLICATE_CHARGE
BILLDOC505315,DUPLICATE_CHARGE
BILLDOC505340,UNDERBILLING
BILLDOC505390,BILLING_SPIKE
BILLDOC505396,DUPLICATE_CHARGE
BILLDOC505397,DUPLICATE_CHARGE
BILLDOC505406,BILLING_SPIKE
BILLDOC505435,BILLING_SPIKE
BILLDOC505452,UNDERBILLING
BILLDOC505462,DUPLICATE_CHARGE
BILLDOC505463,DUPLICATE_CHARGE
BILLDOC505464,DUPLICATE_CHARGE
BILLDOC505465,DUPLICATE_CHARGE
BILLDOC505482,DUPLICATE_CHARGE
BILLDOC505483,DUPLICATE_CHARGE
BILLDOC505494,BILLING_SPIKE
BILLDOC505518,UNEXPLAINED_CREDIT
BILLDOC505521,BILLING_SPIKE
BILLDOC505547,DUPLICATE_CHARGE
BILLDOC505548,DUPLICATE_CHARGE
BILLDOC505586,BILLING_SPIKE
BILLDOC505634,UNDERBILLING
BILLDOC505645,UNEXPLAINED_CREDIT
BILLDOC505678,BILLING_SPIKE
BILLDOC505710,BILLING_SPIKE
BILLDOC505728,BILLING_SPIKE
BILLDOC505732,BILLING_SPIKE
BILLDOC505745,UNDERBILLING
BILLDOC505761,DUPLICATE_CHARGE
BILLDOC505762,DUPLICATE_CHARGE
BILLDOC505771,BILLING_SPIKE
BILLDOC505799,UNEXPLAINED_CREDIT
BILLDOC505817,BILLING_SPIKE
BILLDOC505823,UNEXPLAINED_CREDIT
BILLDOC505844,BILLING_SPIKE
BILLDOC505846,BILLING_SPIKE
BILLDOC505877,UNDERBILLING
BILLDOC505883,DUPLICATE_CHARGE
BILLDOC505884,DUPLICATE_CHARGE
BILLDOC505896,UNDERBILLING
BILLDOC505898,BILLING_SPIKE
BILLDOC505907,UNEXPLAINED_CREDIT
BILLDOC505995,UNDERBILLING
BILLDOC506024,UNEXPLAINED_CREDIT
BILLDOC506034,BILLING_SPIKE
BILLDOC506038,BILLING_SPIKE
BILLDOC506047,DUPLICATE_CHARGE
BILLDOC506048,DUPLICATE_CHARGE
BILLDOC506096,DUPLICATE_CHARGE
BILLDOC506097,DUPLICATE_CHARGE
BILLDOC506154,UNDERBILLING
BILLDOC506219,DUPLICATE_CHARGE
BILLDOC506220,DUPLICATE_CHARGE
BILLDOC506227,UNEXPLAINED_CREDIT
BILLDOC506253,BILLING_SPIKE
BILLDOC506299,UNDERBILLING
BILLDOC506300,BILLING_SPIKE
BILLDOC506320,DUPLICATE_CHARGE
BILLDOC506321,DUPLICATE_CHARGE
BILLDOC506360,BILLING_SPIKE
BILLDOC506381,BILLING_SPIKE
BILLDOC506403,UNDERBILLING
BILLDOC506437,DUPLICATE_CHARGE
BILLDOC506438,DUPLICATE_CHARGE
BILLDOC506482,UNDERBILLING
BILLDOC506505,UNEXPLAINED_CREDIT
BILLDOC506510,BILLING_SPIKE
BILLDOC506571,UNEXPLAINED_CREDIT
BILLDOC506583,DUPLICATE_CHARGE
BILLDOC506584,DUPLICATE_CHARGE
BILLDOC506642,UNDERBILLING
BILLDOC506663,UNEXPLAINED_CREDIT
BILLDOC506675,UNDERBILLING
BILLDOC506683,UNDERBILLING
BILLDOC506719,UNEXPLAINED_CREDIT
BILLDOC506741,DUPLICATE_CHARGE
BILLDOC506742,DUPLICATE_CHARGE
BILLDOC506743,BILLING_SPIKE
BILLDOC506752,UNEXPLAINED_CREDIT
BILLDOC506789,DUPLICATE_CHARGE
BILLDOC506790,DUPLICATE_CHARGE
BILLDOC506795,DUPLICATE_CHARGE
BILLDOC506796,DUPLICATE_CHARGE
BILLDOC506851,BILLING_SPIKE
BILLDOC506858,UNDERBILLING
BILLDOC506932,DUPLICATE_CHARGE
BILLDOC506933,DUPLICATE_CHARGE
BILLDOC506992,DUPLICATE_CHARGE
BILLDOC506993,DUPLICATE_CHARGE
BILLDOC507007,BILLING_SPIKE
BILLDOC507071,BILLING_SPIKE
BILLDOC507076,UNDERBILLING
BILLDOC507079,BILLING_SPIKE
BILLDOC507103,UNDERBILLING
BILLDOC507109,BILLING_SPIKE
BILLDOC507110,BILLING_SPIKE
BILLDOC507153,BILLING_SPIKE
BILLDOC507157,BILLING_SPIKE
BILLDOC507182,UNEXPLAINED_CREDIT
BILLDOC507237,DUPLICATE_CHARGE
BILLDOC507238,DUPLICATE_CHARGE
BILLDOC507247,BILLING_SPIKE
BILLDOC507248,BILLING_SPIKE
BILLDOC507277,BILLING_SPIKE
BILLDOC507286,DUPLICATE_CHARGE
BILLDOC507287,DUPLICATE_CHARGE
BILLDOC507290,BILLING_SPIKE
BILLDOC507313,BILLING_SPIKE
BILLDOC507338,BILLING_SPIKE
BILLDOC507349,BILLING_SPIKE
BILLDOC507350,BILLING_SPIKE
BILLDOC507391,UNEXPLAINED_CREDIT
BILLDOC507462,DUPLICATE_CHARGE
BILLDOC507463,DUPLICATE_CHARGE
BILLDOC507487,UNDERBILLING
BILLDOC507489,DUPLICATE_CHARGE
BILLDOC507490,DUPLICATE_CHARGE
BILLDOC507495,DUPLICATE_CHARGE
BILLDOC507496,DUPLICATE_CHARGE
BILLDOC507515,BILLING_SPIKE
BILLDOC507560,BILLING_SPIKE
BILLDOC507580,UNDERBILLING
BILLDOC507624,UNEXPLAINED_CREDIT
BILLDOC507631,BILLING_SPIKE
BILLDOC507694,UNDERBILLING
BILLDOC507799,BILLING_SPIKE
BILLDOC507811,UNDERBILLING
BILLDOC507843,BILLING_SPIKE
BILLDOC507861,UNDERBILLING
BILLDOC507875,BILLING_SPIKE
BILLDOC507878,BILLING_SPIKE
BILLDOC507945,BILLING_SPIKE
BILLDOC507961,BILLING_SPIKE
BILLDOC507969,BILLING_SPIKE
BILLDOC507977,BILLING_SPIKE
BILLDOC507979,BILLING_SPIKE
BILLDOC507992,UNEXPLAINED_CREDIT
BILLDOC508002,UNEXPLAINED_CREDIT
BILLDOC508021,BILLING_SPIKE
BILLDOC508052,DUPLICATE_CHARGE
BILLDOC508053,DUPLICATE_CHARGE
BILLDOC508124,BILLING_SPIKE
BILLDOC508137,UNDERBILLING
BILLDOC508139,BILLING_SPIKE
BILLDOC508157,BILLING_SPIKE
BILLDOC508184,UNEXPLAINED_CREDIT
BILLDOC508193,UNDERBILLING
BILLDOC508221,BILLING_SPIKE
BILLDOC508231,BILLING_SPIKE
BILLDOC508259,UNEXPLAINED_CREDIT
BILLDOC508264,BILLING_SPIKE
BILLDOC508265,DUPLICATE_CHARGE
BILLDOC508266,DUPLICATE_CHARGE
BILLDOC508302,UNDERBILLING
BILLDOC508316,BILLING_SPIKE
BILLDOC508339,BILLING_SPIKE
BILLDOC508349,BILLING_SPIKE
BILLDOC508375,UNDERBILLING
BILLDOC508386,UNDERBILLING
BILLDOC508391,BILLING_SPIKE
BILLDOC508392,UNEXPLAINED_CREDIT
BILLDOC508417,DUPLICATE_CHARGE
BILLDOC508418,DUPLICATE_CHARGE
BILLDOC508419,BILLING_SPIKE
BILLDOC508427,BILLING_SPIKE
BILLDOC508448,UNDERBILLING
BILLDOC508473,UNDERBILLING
BILLDOC508483,BILLING_SPIKE
BILLDOC508511,UNDERBILLING
BILLDOC508532,BILLING_SPIKE
BILLDOC508537,UNEXPLAINED_CREDIT
BILLDOC508550,BILLING_SPIKE
BILLDOC508601,UNDERBILLING
BILLDOC508612,BILLING_SPIKE
BILLDOC508627,BILLING_SPIKE
BILLDOC508700,BILLING_SPIKE
BILLDOC508709,UNEXPLAINED_CREDIT
BILLDOC508710,UNEXPLAINED_CREDIT
BILLDOC508720,UNEXPLAINED_CREDIT
BILLDOC508728,DUPLICATE_CHARGE
BILLDOC508729,DUPLICATE_CHARGE
BILLDOC508757,BILLING_SPIKE
BILLDOC508795,UNDERBILLING
BILLDOC508822,UNEXPLAINED_CREDIT
BILLDOC508839,BILLING_SPIKE
BILLDOC508862,UNDERBILLING
BILLDOC508873,BILLING_SPIKE
BILLDOC508880,BILLING_SPIKE
BILLDOC508887,UNEXPLAINED_CREDIT
BILLDOC508911,UNDERBILLING
BILLDOC508925,UNDERBILLING
BILLDOC508997,DUPLICATE_CHARGE
BILLDOC508998,DUPLICATE_CHARGE
BILLDOC508999,DUPLICATE_CHARGE
BILLDOC509000,DUPLICATE_CHARGE
BILLDOC509018,UNDERBILLING
BILLDOC509019,UNDERBILLING
BILLDOC509028,BILLING_SPIKE
BILLDOC509039,BILLING_SPIKE
BILLDOC509065,BILLING_SPIKE
BILLDOC509084,BILLING_SPIKE
BILLDOC509112,BILLING_SPIKE
BILLDOC509139,BILLING_SPIKE
BILLDOC509147,UNEXPLAINED_CREDIT
BILLDOC509179,BILLING_SPIKE
BILLDOC509207,UNDERBILLING
BILLDOC509232,BILLING_SPIKE
BILLDOC509235,BILLING_SPIKE
BILLDOC509239,DUPLICATE_CHARGE
BILLDOC509240,DUPLICATE_CHARGE
BILLDOC509241,UNDERBILLING
BILLDOC509257,UNDERBILLING
BILLDOC509306,BILLING_SPIKE
BILLDOC509314,UNEXPLAINED_CREDIT
BILLDOC509326,BILLING_SPIKE
BILLDOC509340,BILLING_SPIKE
BILLDOC509350,DUPLICATE_CHARGE
BILLDOC509351,DUPLICATE_CHARGE
BILLDOC509352,BILLING_SPIKE
BILLDOC509393,BILLING_SPIKE
BILLDOC509415,UNDERBILLING
BILLDOC509425,BILLING_SPIKE
BILLDOC509433,BILLING_SPIKE
BILLDOC509449,UNDERBILLING
BILLDOC509467,BILLING_SPIKE
BILLDOC509474,UNDERBILLING
BILLDOC509484,UNDERBILLING
BILLDOC509501,DUPLICATE_CHARGE
BILLDOC509502,DUPLICATE_CHARGE
BILLDOC509519,UNDERBILLING
BILLDOC509551,DUPLICATE_CHARGE
BILLDOC509552,DUPLICATE_CHARGE
BILLDOC509608,UNDERBILLING
BILLDOC509611,UNDERBILLING
BILLDOC509630,UNDERBILLING
BILLDOC509694,DUPLICATE_CHARGE
BILLDOC509695,DUPLICATE_CHARGE
BILLDOC509696,BILLING_SPIKE
BILLDOC509747,DUPLICATE_CHARGE
BILLDOC509748,DUPLICATE_CHARGE
BILLDOC509749,UNEXPLAINED_CREDIT
BILLDOC509751,UNDERBILLING
BILLDOC509755,UNEXPLAINED_CREDIT
BILLDOC509827,UNDERBILLING
BILLDOC509830,BILLING_SPIKE
BILLDOC509847,BILLING_SPIKE
BILLDOC509859,DUPLICATE_CHARGE
BILLDOC509860,DUPLICATE_CHARGE
BILLDOC509876,BILLING_SPIKE
BILLDOC509948,DUPLICATE_CHARGE
BILLDOC509949,DUPLICATE_CHARGE
BILLDOC509950,BILLING_SPIKE
BILLDOC509962,BILLING_SPIKE
BILLDOC509989,UNDERBILLING
BILLDOC510001,UNDERBILLING
BILLDOC510011,BILLING_SPIKE
BILLDOC510021,BILLING_SPIKE
BILLDOC510048,DUPLICATE_CHARGE
BILLDOC510049,DUPLICATE_CHARGE
BILLDOC510051,BILLING_SPIKE
BILLDOC510077,BILLING_SPIKE
BILLDOC510090,BILLING_SPIKE
BILLDOC510099,BILLING_SPIKE
BILLDOC510108,DUPLICATE_CHARGE
BILLDOC510109,DUPLICATE_CHARGE
BILLDOC510178,BILLING_SPIKE
BILLDOC510220,UNDERBILLING
BILLDOC510278,BILLING_SPIKE
BILLDOC510292,BILLING_SPIKE
BILLDOC510301,BILLING_SPIKE
BILLDOC510320,UNDERBILLING
BILLDOC510361,UNEXPLAINED_CREDIT
BILLDOC510421,UNDERBILLING
BILLDOC510467,UNDERBILLING
BILLDOC510502,DUPLICATE_CHARGE
BILLDOC510503,DUPLICATE_CHARGE
BILLDOC510513,UNDERBILLING
BILLDOC510529,UNEXPLAINED_CREDIT
BILLDOC510530,BILLING_SPIKE
BILLDOC510569,DUPLICATE_CHARGE
BILLDOC510570,DUPLICATE_CHARGE
BILLDOC510580,UNEXPLAINED_CREDIT
BILLDOC510588,UNEXPLAINED_CREDIT
BILLDOC510641,BILLING_SPIKE
BILLDOC510672,BILLING_SPIKE
BILLDOC510674,DUPLICATE_CHARGE
BILLDOC510675,DUPLICATE_CHARGE
BILLDOC510678,BILLING_SPIKE
BILLDOC510719,UNDERBILLING
BILLDOC510753,BILLING_SPIKE
BILLDOC510846,BILLING_SPIKE
BILLDOC510862,DUPLICATE_CHARGE
BILLDOC510863,DUPLICATE_CHARGE
BILLDOC510876,UNDERBILLING
BILLDOC510895,UNDERBILLING
BILLDOC510908,BILLING_SPIKE
BILLDOC510935,UNDERBILLING
BILLDOC510964,BILLING_SPIKE
BILLDOC511044,UNDERBILLING
BILLDOC511061,BILLING_SPIKE
BILLDOC511144,BILLING_SPIKE
BILLDOC511150,DUPLICATE_CHARGE
BILLDOC511151,DUPLICATE_CHARGE
BILLDOC511161,UNDERBILLING
BILLDOC511162,DUPLICATE_CHARGE
BILLDOC511163,DUPLICATE_CHARGE
BILLDOC511170,UNDERBILLING
BILLDOC511265,BILLING_SPIKE
BILLDOC511298,BILLING_SPIKE
BILLDOC511299,UNDERBILLING
BILLDOC511314,UNDERBILLING
BILLDOC511370,UNDERBILLING
BILLDOC511371,DUPLICATE_CHARGE
BILLDOC511372,DUPLICATE_CHARGE
BILLDOC511374,UNEXPLAINED_CREDIT
BILLDOC511404,UNDERBILLING
BILLDOC511438,UNDERBILLING
BILLDOC511596,DUPLICATE_CHARGE
BILLDOC511597,DUPLICATE_CHARGE
BILLDOC511607,UNEXPLAINED_CREDIT
BILLDOC511617,DUPLICATE_CHARGE
BILLDOC511618,DUPLICATE_CHARGE
BILLDOC511621,DUPLICATE_CHARGE
BILLDOC511622,DUPLICATE_CHARGE
BILLDOC511645,UNDERBILLING
BILLDOC511673,BILLING_SPIKE
BILLDOC511676,DUPLICATE_CHARGE
BILLDOC511677,DUPLICATE_CHARGE
BILLDOC511723,BILLING_SPIKE
BILLDOC511741,BILLING_SPIKE
BILLDOC511759,UNEXPLAINED_CREDIT
BILLDOC511796,DUPLICATE_CHARGE
BILLDOC511797,DUPLICATE_CHARGE
BILLDOC511830,BILLING_SPIKE
BILLDOC511859,BILLING_SPIKE
BILLDOC511893,UNDERBILLING
BILLDOC511898,BILLING_SPIKE
BILLDOC511913,DUPLICATE_CHARGE
BILLDOC511914,DUPLICATE_CHARGE
BILLDOC511926,BILLING_SPIKE
BILLDOC511998,BILLING_SPIKE
BILLDOC512003,BILLING_SPIKE
BILLDOC512008,UNEXPLAINED_CREDIT
BILLDOC512033,UNDERBILLING
BILLDOC512069,UNEXPLAINED_CREDIT
BILLDOC512080,UNDERBILLING
BILLDOC512180,BILLING_SPIKE
BILLDOC512186,DUPLICATE_CHARGE
BILLDOC512187,DUPLICATE_CHARGE
BILLDOC512219,BILLING_SPIKE
BILLDOC512247,BILLING_SPIKE
BILLDOC512289,UNDERBILLING
BILLDOC512326,BILLING_SPIKE
BILLDOC512340,DUPLICATE_CHARGE
BILLDOC512341,DUPLICATE_CHARGE
BILLDOC512383,UNEXPLAINED_CREDIT
BILLDOC512426,UNEXPLAINED_CREDIT
BILLDOC512429,UNEXPLAINED_CREDIT
BILLDOC512462,UNDERBILLING
BILLDOC512482,BILLING_SPIKE
BILLDOC512499,BILLING_SPIKE
BILLDOC512503,UNEXPLAINED_CREDIT
BILLDOC512516,BILLING_SPIKE
BILLDOC512520,UNEXPLAINED_CREDIT
BILLDOC512536,UNEXPLAINED_CREDIT
BILLDOC512579,BILLING_SPIKE
BILLDOC512606,BILLING_SPIKE
BILLDOC512625,DUPLICATE_CHARGE
BILLDOC512626,DUPLICATE_CHARGE
BILLDOC512724,DUPLICATE_CHARGE
BILLDOC512725,DUPLICATE_CHARGE
BILLDOC512736,DUPLICATE_CHARGE
BILLDOC512737,DUPLICATE_CHARGE
BILLDOC512790,UNDERBILLING
BILLDOC512838,UNEXPLAINED_CREDIT
BILLDOC512869,DUPLICATE_CHARGE
BILLDOC512870,DUPLICATE_CHARGE
BILLDOC512872,BILLING_SPIKE
BILLDOC512899,UNEXPLAINED_CREDIT
BILLDOC512909,UNEXPLAINED_CREDIT
BILLDOC512910,BILLING_SPIKE
BILLDOC512934,DUPLICATE_CHARGE
BILLDOC512935,DUPLICATE_CHARGE
BILLDOC512936,BILLING_SPIKE
BILLDOC512949,UNDERBILLING
BILLDOC512950,DUPLICATE_CHARGE
BILLDOC512951,DUPLICATE_CHARGE
BILLDOC512961,UNEXPLAINED_CREDIT
BILLDOC512974,BILLING_SPIKE
