GPART,PARTNER_NAME,REGION,CUSTOMER_SINCE,INDUSTRY
BP100142,"Gonzalez, Vargas and Rivas",US-WEST,2024-02-13,SaaS
BP100143,"Barton, Jefferson and Burke",IN-SOUTH,2024-01-22,FinServ
BP100144,"Patton, Reed and Patterson",US-WEST,2024-03-08,Media
BP100145,"Holland, Smith and Fisher",IN-SOUTH,2024-03-29,Telecom
BP100146,Yu-Reid,IN-NORTH,2024-05-29,Telecom
BP100147,"Hernandez, Thompson and Boyd",US-EAST,2024-04-27,FinServ
BP100148,"Morton, Medina and Webb",IN-NORTH,2024-03-19,FinServ
BP100149,"Vargas, Morris and Sanchez",IN-NORTH,2024-06-18,Media
BP100150,Keith-Sanchez,IN-EAST,2024-03-25,Telecom
BP100151,"Barnett, Rogers and Snyder",IN-SOUTH,2024-02-28,FinServ
BP100152,Lewis-Salinas,US-EAST,2024-03-02,SaaS
BP100153,"Haynes, Hill and Smith",IN-SOUTH,2024-06-20,Manufacturing
BP100154,Allen Group,US-EAST,2024-03-29,SaaS
BP100155,Vaughn Ltd,IN-SOUTH,2024-05-08,Telecom
BP100156,Mcguire-Davis,IN-NORTH,2024-02-10,FinServ
BP100157,"Sanchez, Beck and Wood",IN-EAST,2024-04-10,FinServ
BP100158,Coleman-Reese,IN-NORTH,2024-02-29,FinServ
BP100159,"Chavez, Parker and Hall",IN-SOUTH,2024-05-10,Telecom
BP100160,Wilson-Herrera,IN-EAST,2024-05-17,SaaS
BP100161,Lee Ltd,IN-EAST,2024-03-28,Media
BP100162,"Lawrence, Wolf and Carlson",IN-EAST,2024-06-26,Media
BP100163,Phillips LLC,IN-EAST,2024-02-02,Manufacturing
BP100164,Erickson and Sons,US-WEST,2024-02-19,Retail
BP100165,Tran Ltd,US-WEST,2024-06-19,Manufacturing
BP100166,"Oneill, Henry and Salas",IN-EAST,2024-04-13,Telecom
BP100167,Mendoza-Peterson,IN-NORTH,2024-06-23,Media
BP100168,Everett-Woods,IN-NORTH,2024-05-28,SaaS
BP100169,Vasquez-Ray,US-EAST,2024-05-04,Manufacturing
BP100170,Hernandez PLC,US-EAST,2024-06-20,SaaS
BP100171,Mcknight Inc,US-WEST,2024-04-11,Media
BP100172,Obrien-Gibbs,IN-SOUTH,2024-02-10,SaaS
BP100173,"James, Kerr and Evans",US-EAST,2024-04-16,FinServ
BP100174,Torres-Oliver,US-EAST,2024-04-20,Retail
BP100175,"Garcia, Farmer and Garrett",IN-NORTH,2024-02-17,SaaS
BP100176,Moore and Sons,US-EAST,2024-04-09,SaaS
BP100177,Smith Group,IN-NORTH,2024-05-04,SaaS
BP100178,Carter-Hall,US-EAST,2024-05-07,SaaS
BP100179,"Heath, Jones and Hall",US-WEST,2024-02-17,Telecom
BP100180,"Lawrence, Lara and Gonzalez",IN-EAST,2024-01-21,SaaS
BP100181,Holland LLC,US-EAST,2024-05-29,Telecom
BP100182,Brown LLC,US-EAST,2024-04-17,Retail
BP100183,"Morse, Gonzales and Harrison",IN-SOUTH,2024-02-25,Retail
BP100184,Bender-Mason,IN-SOUTH,2024-03-30,FinServ
BP100185,George Group,US-WEST,2024-05-12,Retail
BP100186,"Wright, Davis and Hayden",US-EAST,2024-05-31,Retail
BP100187,"Matthews, Smith and Hubbard",IN-WEST,2024-05-28,Media
BP100188,"Williams, Avila and Ruiz",IN-NORTH,2024-04-27,Manufacturing
BP100189,White-Richards,US-WEST,2024-04-24,Media
BP100190,Costa-Harrison,IN-NORTH,2024-03-14,Media
BP100191,Santiago-Hodge,IN-EAST,2024-02-29,Telecom
BP100192,"Simpson, Bates and Morales",US-WEST,2024-05-17,Manufacturing
BP100193,Gibson LLC,IN-WEST,2024-02-15,FinServ
BP100194,Cordova Group,IN-WEST,2024-06-05,SaaS
BP100195,Sandoval PLC,IN-SOUTH,2024-03-24,FinServ
BP100196,Lopez LLC,US-EAST,2024-04-22,Retail
BP100197,Garrett-Wolf,IN-SOUTH,2024-02-06,SaaS
BP100198,"Anderson, Roberts and Gilmore",US-EAST,2024-03-28,Telecom
BP100199,Dudley PLC,US-EAST,2024-05-24,Media
BP100200,"Moore, Pierce and Tran",IN-NORTH,2024-01-17,Media
BP100201,Murray Inc,IN-SOUTH,2024-04-27,Telecom
BP100202,Jimenez Ltd,IN-WEST,2024-02-22,Media
BP100203,"Hill, Davenport and Baird",IN-NORTH,2024-02-14,FinServ
BP100204,"Thomas, Lee and Greene",US-EAST,2024-05-15,Manufacturing
BP100205,Shields LLC,IN-WEST,2024-05-19,Retail
BP100206,Morgan-French,US-WEST,2024-02-18,Retail
BP100207,Campbell LLC,IN-SOUTH,2024-05-31,Manufacturing
BP100208,"Duarte, Burns and Hernandez",US-EAST,2024-04-07,Media
BP100209,Cook-Hines,US-WEST,2024-03-09,SaaS
BP100210,Kane-Pollard,IN-NORTH,2024-02-13,Media
BP100211,Hall-Rowe,IN-SOUTH,2024-01-08,SaaS
BP100212,"Kennedy, Mcintyre and James",US-WEST,2024-06-27,Retail
BP100213,"Pollard, Simpson and Johnson",IN-NORTH,2024-03-31,Media
BP100214,"Rivera, Garcia and Kirk",IN-WEST,2024-01-19,Retail
BP100215,Smith-Thomas,IN-NORTH,2024-06-06,Manufacturing
BP100216,Jones LLC,IN-WEST,2024-03-02,Telecom
BP100217,"Sanders, Miller and Murphy",US-WEST,2024-05-02,Manufacturing
BP100218,"James, Stewart and Higgins",IN-WEST,2024-05-17,Retail
BP100219,"Johnson, Jones and Welch",IN-EAST,2024-06-15,Media
BP100220,Francis Group,IN-SOUTH,2024-06-26,SaaS
BP100221,"Padilla, Garcia and Jackson",US-WEST,2024-02-24,FinServ
BP100222,Williams Inc,IN-WEST,2024-02-23,SaaS
BP100223,Jordan-Sanchez,IN-SOUTH,2024-03-15,Media
BP100224,"Sparks, Jackson and Miller",IN-NORTH,2024-06-06,Manufacturing
BP100225,"Vega, Jimenez and Aguilar",IN-WEST,2024-02-12,Telecom
BP100226,"King, Scott and Smith",US-WEST,2024-05-25,FinServ
BP100227,Byrd-Moore,US-EAST,2024-03-20,Manufacturing
BP100228,Huerta-Evans,IN-EAST,2024-06-23,Retail
BP100229,"Wright, Bruce and Gonzalez",IN-SOUTH,2024-03-10,SaaS
BP100230,Rodriguez-James,IN-SOUTH,2024-03-05,Manufacturing
BP100231,Haney-Phillips,IN-NORTH,2024-06-26,Retail
BP100232,"Foster, Smith and Grimes",IN-SOUTH,2024-05-20,Media
BP100233,Lozano Ltd,US-EAST,2024-03-30,Retail
BP100234,Parsons-Hall,IN-NORTH,2024-05-25,FinServ
BP100235,Fields PLC,IN-NORTH,2024-02-15,SaaS
BP100236,"Saunders, Becker and Taylor",IN-WEST,2024-01-18,Media
BP100237,"Lucas, Parker and Alexander",IN-SOUTH,2024-04-14,Media
BP100238,"Anderson, Browning and Murphy",IN-NORTH,2024-03-16,Manufacturing
BP100239,Anderson PLC,IN-NORTH,2024-06-07,Manufacturing
BP100240,Schmidt-Mcintyre,IN-SOUTH,2024-05-30,Media
BP100241,Sloan-Raymond,US-EAST,2024-06-24,FinServ
BP100242,Francis-Morgan,US-EAST,2024-01-21,Manufacturing
BP100243,Taylor and Sons,IN-NORTH,2024-06-04,Telecom
BP100244,"Craig, Sanders and Singleton",IN-NORTH,2024-04-10,Telecom
BP100245,Gibbs Inc,IN-EAST,2024-02-17,SaaS
BP100246,Gibson Ltd,IN-NORTH,2024-05-15,Manufacturing
BP100247,Richards-Carson,IN-WEST,2024-06-19,FinServ
BP100248,Leonard Group,US-WEST,2024-01-05,Manufacturing
BP100249,"Murphy, Bishop and Holland",IN-NORTH,2024-04-25,Media
BP100250,Blankenship-Turner,IN-NORTH,2024-03-14,Manufacturing
BP100251,Williams Inc,IN-SOUTH,2024-02-25,FinServ
BP100252,Wilson-Young,IN-SOUTH,2024-04-07,FinServ
BP100253,Chavez-Santiago,IN-NORTH,2024-05-14,Telecom
BP100254,"Barnes, Newton and Moore",IN-EAST,2024-03-16,Media
BP100255,Bass PLC,IN-WEST,2024-03-14,Telecom
BP100256,Johnson-Wood,IN-NORTH,2024-03-21,SaaS
BP100257,Foley Inc,US-WEST,2024-06-26,Telecom
BP100258,Stephens-Levine,IN-EAST,2024-03-05,Media
BP100259,Hill-Donaldson,IN-WEST,2024-06-20,SaaS
BP100260,Davis-Lewis,IN-WEST,2024-04-25,Media
BP100261,Williams LLC,US-WEST,2024-02-14,Retail
BP100262,Buchanan and Sons,IN-EAST,2024-01-13,Manufacturing
BP100263,"Clark, Robinson and Kane",US-EAST,2024-02-29,Media
BP100264,Kramer PLC,IN-SOUTH,2024-01-01,SaaS
BP100265,Huerta PLC,IN-WEST,2024-02-15,Telecom
BP100266,Rodriguez Inc,US-EAST,2024-01-24,Media
BP100267,Tyler-Young,IN-SOUTH,2024-02-28,SaaS
BP100268,Baker and Sons,US-EAST,2024-05-14,FinServ
BP100269,"Wilson, Brown and West",IN-WEST,2024-03-06,Manufacturing
BP100270,"Rodriguez, Gordon and Dougherty",IN-WEST,2024-01-08,FinServ
BP100271,"Boyd, Ellis and Maynard",US-EAST,2024-01-12,Retail
BP100272,Boone-Simmons,IN-SOUTH,2024-01-20,FinServ
BP100273,"Browning, Jones and Miller",US-EAST,2024-04-20,Telecom
BP100274,Martinez PLC,IN-WEST,2024-04-24,SaaS
BP100275,"Joseph, James and Harper",US-WEST,2024-02-23,FinServ
BP100276,"Jacobs, Garcia and Miles",IN-SOUTH,2024-06-03,Retail
BP100277,"Rich, Arnold and Glenn",US-EAST,2024-03-18,Manufacturing
BP100278,Gutierrez Group,US-WEST,2024-03-13,Manufacturing
BP100279,"Davis, Simmons and Ortega",US-WEST,2024-03-08,Manufacturing
BP100280,Mcdaniel Group,IN-NORTH,2024-01-13,Media
BP100281,Davis Inc,IN-EAST,2024-05-14,SaaS
BP100282,Cain-Hawkins,US-WEST,2024-04-16,Media
BP100283,"Hoffman, Santiago and Jenkins",US-EAST,2024-06-07,Media
BP100284,Parrish-Griffith,US-WEST,2024-06-24,SaaS
BP100285,"Edwards, Garcia and Romero",US-WEST,2024-01-29,Media
BP100286,Walker-Rodriguez,US-EAST,2024-06-02,Media
BP100287,Wilson-Ramirez,US-WEST,2024-02-10,FinServ
BP100288,Bruce-Villegas,IN-WEST,2024-05-28,FinServ
BP100289,"Leonard, Hawkins and Lynch",US-WEST,2024-04-29,Media
BP100290,"Adams, White and Park",US-EAST,2024-02-25,Telecom
BP100291,Bell-White,IN-NORTH,2024-01-26,FinServ
BP100292,"Morales, Thomas and Schultz",US-WEST,2024-01-06,FinServ
BP100293,"Moreno, Bennett and Chavez",US-WEST,2024-01-29,Manufacturing
BP100294,Griffith-Frank,IN-NORTH,2024-04-12,Retail
BP100295,Ware and Sons,US-EAST,2024-01-29,Media
BP100296,"Williams, Miller and Ramos",IN-EAST,2024-03-17,Retail
BP100297,"Ramos, Nelson and Fischer",IN-SOUTH,2024-01-21,Media
BP100298,Rodriguez-Gregory,IN-WEST,2024-04-17,Telecom
BP100299,"Estrada, Williams and Foster",IN-EAST,2024-04-18,Retail
BP100300,Harris and Sons,US-EAST,2024-05-18,Manufacturing
BP100301,Roberts-Wilson,IN-WEST,2024-03-31,FinServ
BP100302,Thompson-James,IN-EAST,2024-05-07,FinServ
BP100303,"Hansen, Barnett and Gomez",US-WEST,2024-03-12,Telecom
BP100304,"Williams, Smith and Morse",US-EAST,2024-06-05,FinServ
BP100305,"Patterson, Sullivan and Bowman",US-WEST,2024-02-22,Telecom
BP100306,Smith-Nguyen,US-WEST,2024-05-25,SaaS
BP100307,"Stevens, Norris and Cox",IN-WEST,2024-03-20,Retail
BP100308,Sanchez PLC,US-WEST,2024-03-13,Manufacturing
BP100309,Foster LLC,US-EAST,2024-05-14,Media
BP100310,Cook and Sons,IN-SOUTH,2024-01-14,Telecom
BP100311,"Wilson, Hicks and Bullock",US-WEST,2024-03-04,Media
BP100312,"Mullen, Brewer and Hernandez",IN-NORTH,2024-01-19,Telecom
BP100313,Gonzalez-Morrison,IN-NORTH,2024-05-17,SaaS
BP100314,"Jones, Bean and Burton",IN-SOUTH,2024-03-24,Telecom
BP100315,"Wolf, Cole and Glass",IN-EAST,2024-04-12,Retail
BP100316,"Downs, Morris and Maddox",IN-SOUTH,2024-02-27,FinServ
BP100317,Jones-Ramos,IN-EAST,2024-02-24,Manufacturing
BP100318,Vargas-Bell,US-EAST,2024-01-14,Telecom
BP100319,Hayes-Brown,US-WEST,2024-05-30,Manufacturing
BP100320,Newman Inc,IN-EAST,2024-04-21,FinServ
BP100321,"Cruz, Carpenter and Best",IN-EAST,2024-05-13,Telecom
BP100322,Cole PLC,IN-NORTH,2024-04-27,Manufacturing
BP100323,Jacobs-Mason,US-WEST,2024-06-22,SaaS
BP100324,Garcia-Nolan,IN-SOUTH,2024-03-03,FinServ
BP100325,"Miller, Lucas and Williams",IN-NORTH,2024-05-08,Telecom
BP100326,Warren-Bishop,US-WEST,2024-03-06,Retail
BP100327,Hughes-Schroeder,IN-EAST,2024-05-02,SaaS
BP100328,Mccormick Ltd,US-EAST,2024-03-01,Telecom
BP100329,Davis-Gregory,IN-SOUTH,2024-02-21,FinServ
BP100330,"York, Brandt and Morrison",IN-NORTH,2024-01-28,FinServ
BP100331,Aguilar and Sons,US-WEST,2024-06-14,Retail
BP100332,Ponce-Hale,US-EAST,2024-03-11,Retail
BP100333,"Fletcher, Miller and Hansen",IN-WEST,2024-04-26,FinServ
BP100334,Li-Santiago,US-EAST,2024-05-30,Manufacturing
BP100335,"Osborn, Gaines and Davis",US-EAST,2024-05-01,FinServ
BP100336,"Cox, Cox and White",US-EAST,2024-02-08,FinServ
BP100337,Lee-Cooke,IN-NORTH,2024-01-29,Manufacturing
BP100338,Richard-Garcia,IN-EAST,2024-05-19,FinServ
BP100339,"Stephenson, Johnson and Rogers",IN-WEST,2024-05-18,Telecom
BP100340,Harper and Sons,US-WEST,2024-01-30,Media
BP100341,"Wise, Lamb and Martin",US-EAST,2024-03-20,FinServ
BP100342,Diaz-Ball,US-WEST,2024-06-24,Telecom
BP100343,"Mitchell, Goodman and Cole",IN-WEST,2024-04-06,FinServ
BP100344,Sheppard-Mueller,IN-SOUTH,2024-06-12,Manufacturing
BP100345,Richardson PLC,IN-WEST,2024-06-27,Telecom
BP100346,Hammond-Strickland,IN-WEST,2024-04-01,Media
BP100347,Burch-Montoya,IN-WEST,2024-05-25,Retail
BP100348,Salas Inc,IN-SOUTH,2024-04-26,Telecom
BP100349,Spencer-Garcia,IN-NORTH,2024-06-02,Telecom
BP100350,Mitchell and Sons,IN-EAST,2024-02-19,Manufacturing
BP100351,"Hernandez, Kim and Potts",IN-NORTH,2024-02-10,Manufacturing
BP100352,Wilkerson-Arias,IN-NORTH,2024-03-16,SaaS
BP100353,Shaw-Young,IN-EAST,2024-06-29,FinServ
BP100354,Walker-Flores,IN-WEST,2024-01-18,Retail
BP100355,"Santos, Moody and Taylor",IN-EAST,2024-02-21,FinServ
BP100356,Horton-Taylor,IN-SOUTH,2024-05-07,Telecom
BP100357,Gilbert-Bullock,IN-EAST,2024-01-04,FinServ
BP100358,Conley PLC,US-EAST,2024-06-19,Manufacturing
BP100359,"Rose, Rodriguez and Roberts",IN-SOUTH,2024-02-24,Retail
BP100360,Allen Ltd,IN-EAST,2024-05-23,FinServ
BP100361,Brown-Copeland,IN-SOUTH,2024-03-31,Media
BP100362,"Smith, Robertson and Allen",IN-WEST,2024-01-26,FinServ
BP100363,Smith-Gomez,IN-EAST,2024-04-13,Retail
BP100364,Beck Inc,US-WEST,2024-04-04,Manufacturing
BP100365,Jones-Fox,US-EAST,2024-04-01,Retail
BP100366,"Spencer, Myers and Harrison",IN-NORTH,2024-04-25,FinServ
BP100367,King-Smith,IN-NORTH,2024-05-22,Media
BP100368,Allen-Sandoval,IN-EAST,2024-01-19,FinServ
BP100369,"Moss, Cook and Williams",IN-SOUTH,2024-04-08,FinServ
BP100370,"Thompson, Maxwell and Marshall",IN-WEST,2024-05-05,Manufacturing
BP100371,"White, Taylor and Baldwin",US-WEST,2024-06-19,FinServ
BP100372,Carter Inc,US-WEST,2024-05-23,Telecom
BP100373,Stewart LLC,IN-EAST,2024-04-03,Telecom
BP100374,"Kennedy, Johnson and Lucas",US-EAST,2024-02-21,Retail
BP100375,Glenn LLC,IN-SOUTH,2024-02-19,FinServ
BP100376,Kim-Ross,US-EAST,2024-03-20,Retail
BP100377,Morgan-Lopez,US-WEST,2024-05-05,SaaS
BP100378,Glass-Stone,IN-SOUTH,2024-05-25,Manufacturing
BP100379,"Coleman, Jordan and Carney",IN-EAST,2024-02-02,Telecom
BP100380,Morris-Miller,IN-EAST,2024-04-29,Telecom
BP100381,Griffin-Robbins,IN-SOUTH,2024-01-31,Media
BP100382,Bell-Williams,IN-EAST,2024-06-06,Media
BP100383,Mendez-Graham,IN-NORTH,2024-04-25,FinServ
BP100384,Jones Ltd,IN-WEST,2024-03-14,Media
BP100385,"Owen, Shelton and Cisneros",IN-EAST,2024-01-26,Media
BP100386,"Gregory, Kim and Martinez",IN-EAST,2024-02-12,Media
BP100387,"Diaz, Reyes and Bradley",IN-SOUTH,2024-04-19,FinServ
BP100388,"Cole, Watson and Wallace",IN-SOUTH,2024-01-14,Manufacturing
BP100389,Moreno Group,US-EAST,2024-02-26,SaaS
BP100390,Wright-Wilson,IN-WEST,2024-05-13,Telecom
BP100391,Holmes-Mcintyre,US-WEST,2024-01-22,SaaS
BP100392,Padilla-Lewis,US-WEST,2024-04-20,SaaS
BP100393,"Hendricks, Henry and Martinez",IN-SOUTH,2024-06-03,Telecom
BP100394,Thompson-Reeves,IN-NORTH,2024-06-29,SaaS
BP100395,"Ponce, Downs and Contreras",US-EAST,2024-05-08,Telecom
BP100396,"Daniels, Vance and York",IN-NORTH,2024-05-08,Telecom
BP100397,"Little, Leon and Hicks",IN-EAST,2024-01-22,Manufacturing
BP100398,Conner and Sons,IN-SOUTH,2024-05-23,Retail
