BILLING_DOC,GPART,CONTRACT_ACCOUNT,PLAN_TYPE,BILLING_PERIOD,USAGE_UNITS,INVOICE_AMOUNT,CURRENCY,PAYMENT_STATUS,DUNNING_LEVEL,DUE_DATE
BILLDOC500026,BP100001,CA200000,STANDARD,2026-02,102.77,1581.22,INR,PAID,0,2026-02-22
BILLDOC500027,BP100001,CA200000,STANDARD,2026-03,71.23,1555.98,INR,PAID,0,2026-03-22
BILLDOC500028,BP100001,CA200000,STANDARD,2026-04,109.39,1586.51,INR,PAID,0,2026-04-22
BILLDOC500029,BP100001,CA200000,STANDARD,2026-05,84.98,1566.99,INR,PAID,0,2026-05-22
BILLDOC500030,BP100001,CA200000,STANDARD,2026-06,92.71,1573.17,INR,PAID,0,2026-06-22
BILLDOC500031,BP100002,CA200001,STANDARD,2024-01,84.96,1566.97,INR,PAID,0,2024-01-22
BILLDOC500032,BP100002,CA200001,STANDARD,2024-02,146.31,1616.05,INR,PAID,0,2024-02-22
BILLDOC500033,BP100002,CA200001,STANDARD,2024-03,99.66,1578.73,INR,OVERDUE,1,2024-03-22
BILLDOC500034,BP100002,CA200001,STANDARD,2024-04,73.56,1557.85,INR,PAID,0,2024-04-22
BILLDOC500035,BP100002,CA200001,STANDARD,2024-05,120.56,1595.45,INR,OPEN,0,2024-05-22
BILLDOC500036,BP100002,CA200001,STANDARD,2024-06,69.48,1554.58,INR,PAID,0,2024-06-22
BILLDOC500037,BP100002,CA200001,STANDARD,2024-07,105.22,1583.18,INR,PAID,0,2024-07-22
BILLDOC500038,BP100002,CA200001,STANDARD,2024-08,51.01,1539.81,INR,OVERDUE,0,2024-08-22
BILLDOC500039,BP100002,CA200001,STANDARD,2024-09,66.8,1552.44,INR,PAID,0,2024-09-22
BILLDOC500040,BP100002,CA200001,STANDARD,2024-10,104.92,1582.94,INR,PAID,0,2024-10-22
BILLDOC500041,BP100002,CA200001,STANDARD,2024-11,118.46,1593.77,INR,PAID,0,2024-11-22
BILLDOC500042,BP100002,CA200001,STANDARD,2024-12,104.28,1582.43,INR,PAID,0,2024-12-22
BILLDOC500043,BP100002,CA200001,STANDARD,2025-01,97.11,1576.69,INR,PAID,0,2025-01-22
BILLDOC500044,BP100002,CA200001,STANDARD,2025-02,92.47,1572.98,INR,PAID,0,2025-02-22
BILLDOC500045,BP100002,CA200001,STANDARD,2025-03,63.04,1549.43,INR,PAID,0,2025-03-22
BILLDOC500046,BP100002,CA200001,STANDARD,2025-04,82.0,1564.6,INR,PAID,0,2025-04-22
BILLDOC500047,BP100002,CA200001,STANDARD,2025-05,88.48,1569.79,INR,PAID,0,2025-05-22
BILLDOC500048,BP100002,CA200001,STANDARD,2025-06,126.43,1600.14,INR,OPEN,0,2025-06-22
BILLDOC500049,BP100002,CA200001,STANDARD,2025-07,108.59,9834.65,INR,OVERDUE,2,2025-07-22
BILLDOC500050,BP100002,CA200001,STANDARD,2025-08,55.92,1543.74,INR,OPEN,0,2025-08-22
BILLDOC500051,BP100002,CA200001,STANDARD,2025-09,108.1,1585.48,INR,PAID,0,2025-09-22
BILLDOC500052,BP100002,CA200001,STANDARD,2025-10,90.37,1571.3,INR,PAID,0,2025-10-22
BILLDOC500053,BP100002,CA200001,STANDARD,2025-11,83.08,1565.46,INR,PAID,0,2025-11-22
BILLDOC500054,BP100002,CA200001,STANDARD,2025-12,115.29,1591.23,INR,PAID,0,2025-12-22
BILLDOC500055,BP100002,CA200001,STANDARD,2026-01,125.77,1599.62,INR,PAID,0,2026-01-22
BILLDOC500056,BP100002,CA200001,STANDARD,2026-02,123.28,1597.63,INR,PAID,0,2026-02-22
BILLDOC500057,BP100002,CA200001,STANDARD,2026-03,79.02,1562.22,INR,PAID,0,2026-03-22
BILLDOC500058,BP100002,CA200001,STANDARD,2026-04,92.27,1572.82,INR,OVERDUE,0,2026-04-22
BILLDOC500059,BP100002,CA200001,STANDARD,2026-05,108.28,1585.63,INR,PAID,0,2026-05-22
BILLDOC500060,BP100002,CA200001,STANDARD,2026-06,124.39,1598.51,INR,OVERDUE,1,2026-06-22
BILLDOC500061,BP100003,CA200002,PREMIUM,2024-02,88.02,4104.62,INR,PAID,0,2024-02-22
BILLDOC500062,BP100003,CA200002,PREMIUM,2024-03,95.36,4113.43,INR,PAID,0,2024-03-22
BILLDOC500063,BP100003,CA200002,PREMIUM,2024-04,72.34,4085.81,INR,PAID,0,2024-04-22
BILLDOC500064,BP100003,CA200002,PREMIUM,2024-05,70.09,4083.11,INR,PAID,0,2024-05-22
BILLDOC500065,BP100003,CA200002,PREMIUM,2024-06,120.31,4143.38,INR,OVERDUE,3,2024-06-22
BILLDOC500066,BP100003,CA200002,PREMIUM,2024-07,133.91,4159.69,INR,OPEN,0,2024-07-22
BILLDOC500067,BP100003,CA200002,PREMIUM,2024-08,98.2,4116.84,INR,PAID,0,2024-08-22
BILLDOC500068,BP100003,CA200002,PREMIUM,2024-09,125.09,4149.11,INR,PAID,0,2024-09-22
BILLDOC500069,BP100003,CA200002,PREMIUM,2024-10,109.04,22088.29,INR,PAID,0,2024-10-22
BILLDOC500070,BP100003,CA200002,PREMIUM,2024-11,83.87,4099.65,INR,PAID,0,2024-11-22
BILLDOC500071,BP100003,CA200002,PREMIUM,2024-12,109.03,4129.84,INR,PAID,0,2024-12-22
BILLDOC500072,BP100003,CA200002,PREMIUM,2025-01,138.45,4165.14,INR,PAID,0,2025-01-22
BILLDOC500073,BP100003,CA200002,PREMIUM,2025-02,99.1,4117.93,INR,PAID,0,2025-02-22
BILLDOC500074,BP100003,CA200002,PREMIUM,2025-03,139.12,4165.94,INR,OVERDUE,3,2025-03-22
BILLDOC500075,BP100003,CA200002,PREMIUM,2025-04,34.51,4040.41,INR,PAID,0,2025-04-22
BILLDOC500076,BP100003,CA200002,PREMIUM,2025-05,120.55,4143.66,INR,PAID,0,2025-05-22
BILLDOC500077,BP100003,CA200002,PREMIUM,2025-06,102.18,4121.61,INR,OVERDUE,1,2025-06-22
BILLDOC500078,BP100003,CA200002,PREMIUM,2025-07,92.52,4110.03,INR,PAID,0,2025-07-22
BILLDOC500079,BP100003,CA200002,PREMIUM,2025-08,102.29,4121.75,INR,PAID,0,2025-08-22
BILLDOC500080,BP100003,CA200002,PREMIUM,2025-09,50.31,4059.37,INR,PAID,0,2025-09-22
BILLDOC500081,BP100003,CA200002,PREMIUM,2025-10,94.51,4112.41,INR,PAID,0,2025-10-22
BILLDOC500082,BP100003,CA200002,PREMIUM,2025-11,108.93,4129.71,INR,OVERDUE,1,2025-11-22
BILLDOC500083,BP100003,CA200002,PREMIUM,2025-12,136.95,4163.34,INR,PAID,0,2025-12-22
BILLDOC500084,BP100003,CA200002,PREMIUM,2026-01,87.04,4103.45,INR,PAID,0,2026-01-22
BILLDOC500085,BP100003,CA200002,PREMIUM,2026-02,79.79,4094.75,INR,OVERDUE,3,2026-02-22
BILLDOC500086,BP100003,CA200002,PREMIUM,2026-03,87.46,4103.95,INR,PAID,0,2026-03-22
BILLDOC500087,BP100003,CA200002,PREMIUM,2026-04,122.89,4146.46,INR,PAID,0,2026-04-22
BILLDOC500088,BP100003,CA200002,PREMIUM,2026-05,108.22,4128.86,INR,PAID,0,2026-05-22
BILLDOC500089,BP100003,CA200002,PREMIUM,2026-06,86.76,4103.11,INR,PAID,0,2026-06-22
BILLDOC500090,BP100004,CA200003,ENTERPRISE,2024-04,112.83,10168.25,INR,PAID,0,2024-04-22
BILLDOC500091,BP100004,CA200003,ENTERPRISE,2024-05,102.43,10152.64,INR,OPEN,0,2024-05-22
BILLDOC500092,BP100004,CA200003,ENTERPRISE,2024-06,124.22,10185.32,INR,PAID,0,2024-06-22
BILLDOC500093,BP100004,CA200003,ENTERPRISE,2024-07,82.45,10122.67,INR,PAID,0,2024-07-22
BILLDOC500094,BP100004,CA200003,ENTERPRISE,2024-08,91.81,10136.71,INR,PAID,0,2024-08-22
BILLDOC500095,BP100004,CA200003,ENTERPRISE,2024-09,90.2,10134.3,INR,PAID,0,2024-09-22
BILLDOC500096,BP100004,CA200003,ENTERPRISE,2024-10,63.41,10094.12,INR,PAID,0,2024-10-22
BILLDOC500097,BP100004,CA200003,ENTERPRISE,2024-11,107.4,10160.1,INR,PAID,0,2024-11-22
BILLDOC500098,BP100004,CA200003,ENTERPRISE,2024-12,106.53,10158.79,INR,PAID,0,2024-12-22
BILLDOC500099,BP100004,CA200003,ENTERPRISE,2025-01,100.13,10149.19,INR,PAID,0,2025-01-22
BILLDOC500100,BP100004,CA200003,ENTERPRISE,2025-02,94.14,10140.2,INR,OPEN,0,2025-02-22
BILLDOC500101,BP100004,CA200003,ENTERPRISE,2025-03,64.62,10095.92,INR,PAID,0,2025-03-22
BILLDOC500102,BP100004,CA200003,ENTERPRISE,2025-04,89.48,10133.23,INR,PAID,0,2025-04-22
BILLDOC500103,BP100004,CA200003,ENTERPRISE,2025-05,91.43,10136.15,INR,OPEN,0,2025-05-22
BILLDOC500104,BP100004,CA200003,ENTERPRISE,2025-06,79.94,10118.91,INR,PAID,0,2025-06-22
BILLDOC500105,BP100004,CA200003,ENTERPRISE,2025-07,95.97,10142.95,INR,PAID,0,2025-07-22
BILLDOC500106,BP100004,CA200003,ENTERPRISE,2025-08,110.1,10164.15,INR,PAID,0,2025-08-22
BILLDOC500107,BP100004,CA200003,ENTERPRISE,2025-09,147.15,10219.73,INR,PAID,0,2025-09-22
BILLDOC500108,BP100004,CA200003,ENTERPRISE,2025-10,104.36,10155.55,INR,OVERDUE,0,2025-10-22
BILLDOC500109,BP100004,CA200003,ENTERPRISE,2025-11,106.44,10158.66,INR,PAID,0,2025-11-22
BILLDOC500110,BP100004,CA200003,ENTERPRISE,2025-12,98.14,10146.21,INR,PAID,0,2025-12-22
BILLDOC500111,BP100004,CA200003,ENTERPRISE,2026-01,52.03,10077.05,INR,PAID,0,2026-01-22
BILLDOC500112,BP100004,CA200003,ENTERPRISE,2026-02,99.34,10148.01,INR,OVERDUE,1,2026-02-22
BILLDOC500113,BP100004,CA200003,ENTERPRISE,2026-03,101.51,10151.26,INR,PAID,0,2026-03-22
BILLDOC500114,BP100004,CA200003,ENTERPRISE,2026-04,161.58,10241.37,INR,OVERDUE,2,2026-04-22
BILLDOC500115,BP100004,CA200003,ENTERPRISE,2026-05,95.19,10141.79,INR,OVERDUE,0,2026-05-22
BILLDOC500116,BP100004,CA200003,ENTERPRISE,2026-06,107.54,10160.31,INR,PAID,0,2026-06-22
BILLDOC500117,BP100005,CA200004,STANDARD,2024-05,99.13,1578.31,INR,PAID,0,2024-05-22
BILLDOC500118,BP100005,CA200004,STANDARD,2024-06,70.78,1555.63,INR,PAID,0,2024-06-22
BILLDOC500119,BP100005,CA200004,STANDARD,2024-07,128.57,1601.86,INR,PAID,0,2024-07-22
BILLDOC500120,BP100005,CA200004,STANDARD,2024-08,118.8,1.49,INR,PAID,0,2024-08-22
BILLDOC500121,BP100005,CA200004,STANDARD,2024-09,119.78,1594.82,INR,PAID,0,2024-09-22
BILLDOC500122,BP100005,CA200004,STANDARD,2024-10,77.27,1560.81,INR,PAID,0,2024-10-22
BILLDOC500123,BP100005,CA200004,STANDARD,2024-11,135.07,1607.06,INR,PAID,0,2024-11-22
BILLDOC500124,BP100005,CA200004,STANDARD,2024-12,64.95,1550.96,INR,PAID,0,2024-12-22
BILLDOC500125,BP100005,CA200004,STANDARD,2025-01,114.67,1590.74,INR,OPEN,0,2025-01-22
BILLDOC500126,BP100005,CA200004,STANDARD,2025-02,154.76,1622.81,INR,OPEN,0,2025-02-22
BILLDOC500127,BP100005,CA200004,STANDARD,2025-03,75.24,1559.19,INR,PAID,0,2025-03-22
BILLDOC500128,BP100005,CA200004,STANDARD,2025-04,85.84,1567.67,INR,PAID,0,2025-04-22
BILLDOC500129,BP100005,CA200004,STANDARD,2025-05,102.49,-347.12,INR,PAID,0,2025-05-22
BILLDOC500130,BP100005,CA200004,STANDARD,2025-06,87.41,1568.93,INR,PAID,0,2025-06-22
BILLDOC500131,BP100005,CA200004,STANDARD,2025-07,61.23,1547.99,INR,PAID,0,2025-07-22
BILLDOC500132,BP100005,CA200004,STANDARD,2025-08,101.71,1580.37,INR,OPEN,0,2025-08-22
BILLDOC500133,BP100005,CA200004,STANDARD,2025-09,73.44,1557.75,INR,PAID,0,2025-09-22
BILLDOC500134,BP100005,CA200004,STANDARD,2025-10,111.84,1588.47,INR,OPEN,0,2025-10-22
BILLDOC500135,BP100005,CA200004,STANDARD,2025-11,77.01,1560.61,INR,PAID,0,2025-11-22
BILLDOC500136,BP100005,CA200004,STANDARD,2025-12,138.75,1610.0,INR,PAID,0,2025-12-22
BILLDOC500137,BP100005,CA200004,STANDARD,2026-01,80.42,1563.33,INR,PAID,0,2026-01-22
BILLDOC500138,BP100005,CA200004,STANDARD,2026-02,91.95,1572.56,INR,PAID,0,2026-02-22
BILLDOC500139,BP100005,CA200004,STANDARD,2026-03,120.34,1595.27,INR,PAID,0,2026-03-22
BILLDOC500140,BP100005,CA200004,STANDARD,2026-04,69.23,1554.38,INR,OVERDUE,0,2026-04-22
BILLDOC500141,BP100005,CA200004,STANDARD,2026-05,105.69,1583.55,INR,PAID,0,2026-05-22
BILLDOC500142,BP100005,CA200004,STANDARD,2026-06,132.68,1605.14,INR,OVERDUE,2,2026-06-22
BILLDOC500143,BP100006,CA200005,STANDARD,2024-05,59.81,1546.85,INR,PAID,0,2024-05-22
BILLDOC500144,BP100006,CA200005,STANDARD,2024-06,104.62,1582.69,INR,PAID,0,2024-06-22
BILLDOC500145,BP100006,CA200005,STANDARD,2024-07,106.5,1584.2,INR,OPEN,0,2024-07-22
BILLDOC500146,BP100006,CA200005,STANDARD,2024-08,119.55,1594.64,INR,OPEN,0,2024-08-22
BILLDOC500147,BP100006,CA200005,STANDARD,2024-09,69.08,1554.26,INR,PAID,0,2024-09-22
BILLDOC500148,BP100006,CA200005,STANDARD,2024-10,66.99,1552.59,INR,OVERDUE,2,2024-10-22
BILLDOC500149,BP100006,CA200005,STANDARD,2024-11,113.05,1589.44,INR,PAID,0,2024-11-22
BILLDOC500150,BP100006,CA200005,STANDARD,2024-12,107.42,1584.94,INR,PAID,0,2024-12-22
BILLDOC500151,BP100006,CA200005,STANDARD,2025-01,106.26,1584.01,INR,PAID,0,2025-01-22
BILLDOC500152,BP100006,CA200005,STANDARD,2025-02,108.66,1585.93,INR,OPEN,0,2025-02-22
BILLDOC500153,BP100006,CA200005,STANDARD,2025-03,83.0,1565.4,INR,PAID,0,2025-03-22
BILLDOC500154,BP100006,CA200005,STANDARD,2025-04,105.81,1583.65,INR,PAID,0,2025-04-22
BILLDOC500155,BP100006,CA200005,STANDARD,2025-05,107.33,1584.86,INR,PAID,0,2025-05-22
BILLDOC500156,BP100006,CA200005,STANDARD,2025-06,82.14,1564.71,INR,PAID,0,2025-06-22
BILLDOC500157,BP100006,CA200005,STANDARD,2025-07,146.64,1616.32,INR,PAID,0,2025-07-22
BILLDOC500158,BP100006,CA200005,STANDARD,2025-08,111.85,1588.48,INR,PAID,0,2025-08-22
BILLDOC500159,BP100006,CA200005,STANDARD,2025-09,70.22,1555.17,INR,PAID,0,2025-09-22
BILLDOC500160,BP100006,CA200005,STANDARD,2025-10,116.41,1592.13,INR,PAID,0,2025-10-22
BILLDOC500161,BP100006,CA200005,STANDARD,2025-11,75.63,1559.51,INR,OVERDUE,0,2025-11-22
BILLDOC500162,BP100006,CA200005,STANDARD,2025-12,119.68,1594.74,INR,OPEN,0,2025-12-22
BILLDOC500163,BP100006,CA200005,STANDARD,2026-01,128.96,1602.17,INR,PAID,0,2026-01-22
BILLDOC500164,BP100006,CA200005,STANDARD,2026-02,79.48,1562.59,INR,PAID,0,2026-02-22
BILLDOC500165,BP100006,CA200005,STANDARD,2026-03,124.08,1598.27,INR,PAID,0,2026-03-22
BILLDOC500166,BP100006,CA200005,STANDARD,2026-04,110.32,1587.26,INR,PAID,0,2026-04-22
BILLDOC500167,BP100006,CA200005,STANDARD,2026-05,120.55,1595.44,INR,PAID,0,2026-05-22
BILLDOC500168,BP100006,CA200005,STANDARD,2026-06,147.42,1616.94,INR,OPEN,0,2026-06-22
BILLDOC500169,BP100007,CA200006,ENTERPRISE,2024-05,93.87,10139.8,INR,OPEN,0,2024-05-22
BILLDOC500170,BP100007,CA200006,ENTERPRISE,2024-06,81.16,10120.73,INR,OPEN,0,2024-06-22
BILLDOC500171,BP100007,CA200006,ENTERPRISE,2024-07,77.76,10115.64,INR,PAID,0,2024-07-22
BILLDOC500172,BP100007,CA200006,ENTERPRISE,2024-08,79.6,10118.41,INR,PAID,0,2024-08-22
BILLDOC500173,BP100007,CA200006,ENTERPRISE,2024-09,98.07,10146.11,INR,PAID,0,2024-09-22
BILLDOC500174,BP100007,CA200006,ENTERPRISE,2024-10,108.53,2.77,INR,PAID,0,2024-10-22
BILLDOC500175,BP100007,CA200006,ENTERPRISE,2024-11,106.92,10159.38,INR,PAID,0,2024-11-22
BILLDOC500176,BP100007,CA200006,ENTERPRISE,2024-12,120.68,10180.02,INR,PAID,0,2024-12-22
BILLDOC500177,BP100007,CA200006,ENTERPRISE,2025-01,100.33,10149.49,INR,PAID,0,2025-01-22
BILLDOC500178,BP100007,CA200006,ENTERPRISE,2025-02,136.34,10203.51,INR,OVERDUE,1,2025-02-22
BILLDOC500179,BP100007,CA200006,ENTERPRISE,2025-03,93.38,10139.08,INR,OPEN,0,2025-03-22
BILLDOC500180,BP100007,CA200006,ENTERPRISE,2025-04,168.0,10251.01,INR,PAID,0,2025-04-22
BILLDOC500181,BP100007,CA200006,ENTERPRISE,2025-05,115.64,10172.46,INR,PAID,0,2025-05-22
BILLDOC500182,BP100007,CA200006,ENTERPRISE,2025-06,78.57,10116.86,INR,PAID,0,2025-06-22
BILLDOC500183,BP100007,CA200006,ENTERPRISE,2025-07,73.23,10108.84,INR,PAID,0,2025-07-22
BILLDOC500184,BP100007,CA200006,ENTERPRISE,2025-08,112.06,10167.09,INR,PAID,0,2025-08-22
BILLDOC500185,BP100007,CA200006,ENTERPRISE,2025-09,94.41,10140.62,INR,PAID,0,2025-09-22
BILLDOC500186,BP100007,CA200006,ENTERPRISE,2025-10,117.85,-2740.74,INR,OVERDUE,0,2025-10-22
BILLDOC500187,BP100007,CA200006,ENTERPRISE,2025-11,111.83,10166.75,INR,PAID,0,2025-11-22
BILLDOC500188,BP100007,CA200006,ENTERPRISE,2025-12,98.18,10146.27,INR,PAID,0,2025-12-22
BILLDOC500189,BP100007,CA200006,ENTERPRISE,2026-01,78.83,10117.25,INR,PAID,0,2026-01-22
BILLDOC500190,BP100007,CA200006,ENTERPRISE,2026-02,62.13,10092.19,INR,PAID,0,2026-02-22
BILLDOC500191,BP100007,CA200006,ENTERPRISE,2026-03,88.84,10132.26,INR,PAID,0,2026-03-22
BILLDOC500192,BP100007,CA200006,ENTERPRISE,2026-04,121.41,10181.11,INR,PAID,0,2026-04-22
BILLDOC500193,BP100007,CA200006,ENTERPRISE,2026-05,105.35,10157.03,INR,PAID,0,2026-05-22
BILLDOC500194,BP100007,CA200006,ENTERPRISE,2026-06,68.86,10102.28,INR,PAID,0,2026-06-22
BILLDOC500195,BP100008,CA200007,PREMIUM,2024-03,104.33,4124.2,INR,PAID,0,2024-03-22
BILLDOC500196,BP100008,CA200007,PREMIUM,2024-04,109.63,4130.56,INR,PAID,0,2024-04-22
BILLDOC500197,BP100008,CA200007,PREMIUM,2024-05,77.9,4092.48,INR,PAID,0,2024-05-22
BILLDOC500198,BP100008,CA200007,PREMIUM,2024-06,103.84,4123.61,INR,OVERDUE,0,2024-06-22
BILLDOC500199,BP100008,CA200007,PREMIUM,2024-07,101.46,4120.75,INR,PAID,0,2024-07-22
BILLDOC500200,BP100008,CA200007,PREMIUM,2024-08,71.43,4084.71,INR,PAID,0,2024-08-22
BILLDOC500201,BP100008,CA200007,PREMIUM,2024-09,108.94,4129.73,INR,PAID,0,2024-09-22
BILLDOC500202,BP100008,CA200007,PREMIUM,2024-10,114.02,4135.82,INR,PAID,0,2024-10-22
BILLDOC500203,BP100008,CA200007,PREMIUM,2024-11,127.08,4151.49,INR,PAID,0,2024-11-22
BILLDOC500204,BP100008,CA200007,PREMIUM,2024-12,126.35,4150.61,INR,PAID,0,2024-12-22
BILLDOC500205,BP100008,CA200007,PREMIUM,2025-01,65.56,4077.67,INR,OPEN,0,2025-01-22
BILLDOC500206,BP100008,CA200007,PREMIUM,2025-02,76.55,4090.87,INR,OVERDUE,0,2025-02-22
BILLDOC500207,BP100008,CA200007,PREMIUM,2025-03,112.88,4134.45,INR,PAID,0,2025-03-22
BILLDOC500208,BP100008,CA200007,PREMIUM,2025-04,112.84,4134.41,INR,PAID,0,2025-04-22
BILLDOC500209,BP100008,CA200007,PREMIUM,2025-05,112.88,19372.11,INR,PAID,0,2025-05-22
BILLDOC500210,BP100008,CA200007,PREMIUM,2025-06,196.32,4234.58,INR,OPEN,0,2025-06-22
BILLDOC500211,BP100008,CA200007,PREMIUM,2025-07,114.27,4136.13,INR,OPEN,0,2025-07-22
BILLDOC500212,BP100008,CA200007,PREMIUM,2025-08,128.39,4153.07,INR,PAID,0,2025-08-22
BILLDOC500213,BP100008,CA200007,PREMIUM,2025-09,123.85,4147.62,INR,PAID,0,2025-09-22
BILLDOC500214,BP100008,CA200007,PREMIUM,2025-10,116.28,4138.54,INR,OPEN,0,2025-10-22
BILLDOC500215,BP100008,CA200007,PREMIUM,2025-11,92.12,4109.54,INR,PAID,0,2025-11-22
BILLDOC500216,BP100008,CA200007,PREMIUM,2025-12,118.97,4141.77,INR,OVERDUE,0,2025-12-22
BILLDOC500217,BP100008,CA200007,PREMIUM,2026-01,80.68,4095.82,INR,OPEN,0,2026-01-22
BILLDOC500218,BP100008,CA200007,PREMIUM,2026-02,94.08,1.04,INR,PAID,0,2026-02-22
BILLDOC500219,BP100008,CA200007,PREMIUM,2026-03,87.87,4104.44,INR,OPEN,0,2026-03-22
BILLDOC500220,BP100008,CA200007,PREMIUM,2026-04,102.05,4121.46,INR,PAID,0,2026-04-22
BILLDOC500221,BP100008,CA200007,PREMIUM,2026-05,157.87,4188.44,INR,PAID,0,2026-05-22
BILLDOC500222,BP100008,CA200007,PREMIUM,2026-06,53.32,4062.98,INR,PAID,0,2026-06-22
BILLDOC500223,BP100009,CA200008,BASIC,2024-05,117.16,557.58,INR,PAID,0,2024-05-22
BILLDOC500224,BP100009,CA200008,BASIC,2024-06,59.68,528.84,INR,OPEN,0,2024-06-22
BILLDOC500225,BP100009,CA200008,BASIC,2024-07,88.2,543.1,INR,PAID,0,2024-07-22
BILLDOC500226,BP100009,CA200008,BASIC,2024-08,127.22,562.61,INR,PAID,0,2024-08-22
BILLDOC500227,BP100009,CA200008,BASIC,2024-09,101.61,549.8,INR,PAID,0,2024-09-22
BILLDOC500228,BP100009,CA200008,BASIC,2024-10,73.06,535.53,INR,PAID,0,2024-10-22
BILLDOC500229,BP100009,CA200008,BASIC,2024-11,82.12,540.06,INR,PAID,0,2024-11-22
BILLDOC500230,BP100009,CA200008,BASIC,2024-12,116.99,557.49,INR,PAID,0,2024-12-22
BILLDOC500231,BP100009,CA200008,BASIC,2025-01,81.74,539.87,INR,OPEN,0,2025-01-22
BILLDOC500232,BP100009,CA200008,BASIC,2025-02,105.41,551.71,INR,PAID,0,2025-02-22
BILLDOC500233,BP100009,CA200008,BASIC,2025-03,101.14,549.57,INR,PAID,0,2025-03-22
BILLDOC500234,BP100009,CA200008,BASIC,2025-04,83.71,540.85,INR,PAID,0,2025-04-22
BILLDOC500235,BP100009,CA200008,BASIC,2025-05,153.6,575.8,INR,OPEN,0,2025-05-22
BILLDOC500236,BP100009,CA200008,BASIC,2025-06,115.85,556.92,INR,PAID,0,2025-06-22
BILLDOC500237,BP100009,CA200008,BASIC,2025-07,49.37,523.69,INR,PAID,0,2025-07-22
BILLDOC500238,BP100009,CA200008,BASIC,2025-08,104.66,551.33,INR,OPEN,0,2025-08-22
BILLDOC500239,BP100009,CA200008,BASIC,2025-09,83.46,540.73,INR,PAID,0,2025-09-22
BILLDOC500240,BP100009,CA200008,BASIC,2025-10,121.31,559.66,INR,PAID,0,2025-10-22
BILLDOC500241,BP100009,CA200008,BASIC,2025-11,80.19,539.09,INR,PAID,0,2025-11-22
BILLDOC500242,BP100009,CA200008,BASIC,2025-12,97.13,547.57,INR,PAID,0,2025-12-22
BILLDOC500243,BP100009,CA200008,BASIC,2026-01,112.62,555.31,INR,PAID,0,2026-01-22
BILLDOC500244,BP100009,CA200008,BASIC,2026-02,121.64,559.82,INR,PAID,0,2026-02-22
BILLDOC500245,BP100009,CA200008,BASIC,2026-03,69.99,534.0,INR,PAID,0,2026-03-22
