GPART,CONTRACT_ACCOUNT,PLAN_TYPE,CONTRACT_START,BASE_FEE,USAGE_RATE,STATUS
BP100038,CA200037,STANDARD,2024-06-23,1499,0.8,ACTIVE
BP100039,CA200038,BASIC,2024-03-13,499,0.5,ACTIVE
BP100040,CA200039,BASIC,2024-01-22,499,0.5,ACTIVE
BP100041,CA200040,STANDARD,2024-04-16,1499,0.8,ACTIVE
BP100042,CA200041,STANDARD,2024-01-13,1499,0.8,ACTIVE
BP100043,CA200042,BASIC,2024-02-29,499,0.5,ACTIVE
BP100044,CA200043,BASIC,2024-01-24,499,0.5,ACTIVE
BP100045,CA200044,PREMIUM,2024-03-14,3999,1.2,CHURNED
BP100046,CA200045,PREMIUM,2024-03-05,3999,1.2,ACTIVE
BP100047,CA200046,PREMIUM,2024-05-01,3999,1.2,ACTIVE
BP100048,CA200047,BASIC,2024-06-04,499,0.5,ACTIVE
BP100049,CA200048,STANDARD,2024-03-22,1499,0.8,ACTIVE
BP100050,CA200049,STANDARD,2024-06-07,1499,0.8,ACTIVE
BP100051,CA200050,BASIC,2024-01-18,499,0.5,ACTIVE
BP100052,CA200051,BASIC,2024-06-16,499,0.5,CHURNED
BP100053,CA200052,STANDARD,2024-03-28,1499,0.8,ACTIVE
BP100054,CA200053,STANDARD,2024-01-01,1499,0.8,ACTIVE
BP100055,CA200054,PREMIUM,2024-03-23,3999,1.2,ACTIVE
BP100056,CA200055,BASIC,2024-05-21,499,0.5,ACTIVE
BP100057,CA200056,BASIC,2024-06-24,499,0.5,ACTIVE
BP100058,CA200057,BASIC,2024-01-10,499,0.5,CHURNED
BP100059,CA200058,STANDARD,2024-01-29,1499,0.8,ACTIVE
BP100060,CA200059,ENTERPRISE,2024-05-02,9999,1.5,ACTIVE
BP100061,CA200060,PREMIUM,2024-02-14,3999,1.2,ACTIVE
BP100062,CA200061,STANDARD,2024-04-12,1499,0.8,ACTIVE
BP100063,CA200062,STANDARD,2024-05-09,1499,0.8,ACTIVE
BP100064,CA200063,BASIC,2024-05-01,499,0.5,ACTIVE
BP100065,CA200064,PREMIUM,2024-06-18,3999,1.2,ACTIVE
BP100066,CA200065,BASIC,2024-06-29,499,0.5,ACTIVE
BP100067,CA200066,PREMIUM,2024-02-18,3999,1.2,ACTIVE
BP100068,CA200067,PREMIUM,2024-03-07,3999,1.2,ACTIVE
BP100069,CA200068,BASIC,2024-05-07,499,0.5,ACTIVE
BP100070,CA200069,PREMIUM,2024-04-30,3999,1.2,ACTIVE
BP100071,CA200070,STANDARD,2024-01-25,1499,0.8,CHURNED
BP100072,CA200071,STANDARD,2024-04-10,1499,0.8,ACTIVE
BP100073,CA200072,BASIC,2024-03-03,499,0.5,ACTIVE
BP100074,CA200073,STANDARD,2024-06-12,1499,0.8,CHURNED
BP100075,CA200074,PREMIUM,2024-05-30,3999,1.2,CHURNED
BP100076,CA200075,BASIC,2024-04-25,499,0.5,ACTIVE
BP100077,CA200076,PREMIUM,2024-05-07,3999,1.2,ACTIVE
BP100078,CA200077,BASIC,2024-06-12,499,0.5,ACTIVE
BP100079,CA200078,ENTERPRISE,2024-03-18,9999,1.5,ACTIVE
BP100080,CA200079,ENTERPRISE,2024-06-11,9999,1.5,ACTIVE
BP100081,CA200080,STANDARD,2024-01-19,1499,0.8,ACTIVE
BP100082,CA200081,ENTERPRISE,2024-01-28,9999,1.5,ACTIVE
BP100083,CA200082,ENTERPRISE,2024-06-08,9999,1.5,ACTIVE
BP100084,CA200083,BASIC,2024-05-21,499,0.5,ACTIVE
BP100085,CA200084,BASIC,2024-05-26,499,0.5,CHURNED
BP100086,CA200085,BASIC,2024-03-10,499,0.5,ACTIVE
BP100087,CA200086,PREMIUM,2024-02-06,3999,1.2,CHURNED
BP100088,CA200087,BASIC,2024-06-06,499,0.5,ACTIVE
BP100089,CA200088,BASIC,2024-03-13,499,0.5,ACTIVE
BP100090,CA200089,STANDARD,2024-02-20,1499,0.8,ACTIVE
BP100091,CA200090,BASIC,2024-02-29,499,0.5,ACTIVE
BP100092,CA200091,STANDARD,2024-02-02,1499,0.8,CHURNED
BP100093,CA200092,STANDARD,2024-03-03,1499,0.8,CHURNED
BP100094,CA200093,STANDARD,2024-01-21,1499,0.8,ACTIVE
BP100095,CA200094,STANDARD,2024-04-04,1499,0.8,ACTIVE
BP100096,CA200095,STANDARD,2024-02-05,1499,0.8,ACTIVE
BP100097,CA200096,BASIC,2024-02-29,499,0.5,ACTIVE
BP100098,CA200097,ENTERPRISE,2024-06-11,9999,1.5,ACTIVE
BP100099,CA200098,PREMIUM,2024-02-23,3999,1.2,ACTIVE
BP100100,CA200099,BASIC,2024-06-19,499,0.5,ACTIVE
BP100101,CA200100,BASIC,2024-03-14,499,0.5,ACTIVE
BP100102,CA200101,BASIC,2024-03-18,499,0.5,ACTIVE
BP100103,CA200102,STANDARD,2024-05-02,1499,0.8,ACTIVE
BP100104,CA200103,STANDARD,2024-01-31,1499,0.8,ACTIVE
BP100105,CA200104,BASIC,2024-04-24,499,0.5,ACTIVE
BP100106,CA200105,STANDARD,2024-02-12,1499,0.8,ACTIVE
BP100107,CA200106,STANDARD,2024-01-05,1499,0.8,ACTIVE
BP100108,CA200107,STANDARD,2024-06-02,1499,0.8,ACTIVE
BP100109,CA200108,STANDARD,2024-04-14,1499,0.8,ACTIVE
BP100110,CA200109,STANDARD,2024-04-28,1499,0.8,CHURNED
BP100111,CA200110,STANDARD,2024-05-20,1499,0.8,ACTIVE
BP100112,CA200111,STANDARD,2024-04-03,1499,0.8,ACTIVE
BP100113,CA200112,ENTERPRISE,2024-03-23,9999,1.5,CHURNED
BP100114,CA200113,BASIC,2024-04-17,499,0.5,CHURNED
BP100115,CA200114,STANDARD,2024-04-01,1499,0.8,ACTIVE
BP100116,CA200115,BASIC,2024-03-22,499,0.5,CHURNED
BP100117,CA200116,PREMIUM,2024-05-18,3999,1.2,ACTIVE
BP100118,CA200117,STANDARD,2024-05-09,1499,0.8,ACTIVE
BP100119,CA200118,BASIC,2024-06-10,499,0.5,ACTIVE
BP100120,CA200119,BASIC,2024-03-10,499,0.5,ACTIVE
BP100121,CA200120,STANDARD,2024-03-16,1499,0.8,ACTIVE
BP100122,CA200121,PREMIUM,2024-02-07,3999,1.2,ACTIVE
BP100123,CA200122,ENTERPRISE,2024-06-20,9999,1.5,CHURNED
BP100124,CA200123,PREMIUM,2024-03-09,3999,1.2,ACTIVE
BP100125,CA200124,ENTERPRISE,2024-05-16,9999,1.5,ACTIVE
BP100126,CA200125,BASIC,2024-05-24,499,0.5,ACTIVE
BP100127,CA200126,BASIC,2024-03-19,499,0.5,ACTIVE
BP100128,CA200127,BASIC,2024-05-02,499,0.5,ACTIVE
BP100129,CA200128,PREMIUM,2024-06-15,3999,1.2,ACTIVE
BP100130,CA200129,BASIC,2024-04-30,499,0.5,ACTIVE
BP100131,CA200130,STANDARD,2024-06-05,1499,0.8,ACTIVE
BP100132,CA200131,PREMIUM,2024-02-29,3999,1.2,ACTIVE
BP100133,CA200132,STANDARD,2024-03-09,1499,0.8,ACTIVE
BP100134,CA200133,ENTERPRISE,2024-01-04,9999,1.5,ACTIVE
BP100135,CA200134,STANDARD,2024-01-13,1499,0.8,ACTIVE
BP100136,CA200135,PREMIUM,2024-05-31,3999,1.2,CHURNED
BP100137,CA200136,STANDARD,2024-04-12,1499,0.8,ACTIVE
BP100138,CA200137,BASIC,2024-05-18,499,0.5,ACTIVE
BP100139,CA200138,ENTERPRISE,2024-05-10,9999,1.5,CHURNED
BP100140,CA200139,ENTERPRISE,2024-04-14,9999,1.5,ACTIVE
BP100141,CA200140,PREMIUM,2024-03-08,3999,1.2,ACTIVE
BP100142,CA200141,STANDARD,2024-02-13,1499,0.8,ACTIVE
BP100143,CA200142,PREMIUM,2024-01-22,3999,1.2,ACTIVE
BP100144,CA200143,STANDARD,2024-03-08,1499,0.8,ACTIVE
BP100145,CA200144,STANDARD,2024-03-29,1499,0.8,ACTIVE
BP100146,CA200145,STANDARD,2024-05-29,1499,0.8,ACTIVE
BP100147,CA200146,STANDARD,2024-04-27,1499,0.8,ACTIVE
BP100148,CA200147,BASIC,2024-03-19,499,0.5,ACTIVE
BP100149,CA200148,PREMIUM,2024-06-18,3999,1.2,ACTIVE
BP100150,CA200149,STANDARD,2024-03-25,1499,0.8,ACTIVE
BP100151,CA200150,STANDARD,2024-02-28,1499,0.8,ACTIVE
BP100152,CA200151,STANDARD,2024-03-02,1499,0.8,ACTIVE
BP100153,CA200152,ENTERPRISE,2024-06-20,9999,1.5,ACTIVE
BP100154,CA200153,STANDARD,2024-03-29,1499,0.8,ACTIVE
BP100155,CA200154,STANDARD,2024-05-08,1499,0.8,ACTIVE
BP100156,CA200155,PREMIUM,2024-02-10,3999,1.2,ACTIVE
BP100157,CA200156,BASIC,2024-04-10,499,0.5,ACTIVE
BP100158,CA200157,BASIC,2024-02-29,499,0.5,CHURNED
BP100159,CA200158,BASIC,2024-05-10,499,0.5,ACTIVE
BP100160,CA200159,STANDARD,2024-05-17,1499,0.8,ACTIVE
BP100161,CA200160,STANDARD,2024-03-28,1499,0.8,CHURNED
BP100162,CA200161,STANDARD,2024-06-26,1499,0.8,ACTIVE
BP100163,CA200162,STANDARD,2024-02-02,1499,0.8,ACTIVE
BP100164,CA200163,PREMIUM,2024-02-19,3999,1.2,ACTIVE
BP100165,CA200164,PREMIUM,2024-06-19,3999,1.2,ACTIVE
BP100166,CA200165,ENTERPRISE,2024-04-13,9999,1.5,ACTIVE
BP100167,CA200166,STANDARD,2024-06-23,1499,0.8,ACTIVE
BP100168,CA200167,STANDARD,2024-05-28,1499,0.8,ACTIVE
BP100169,CA200168,STANDARD,2024-05-04,1499,0.8,CHURNED
BP100170,CA200169,STANDARD,2024-06-20,1499,0.8,CHURNED
BP100171,CA200170,STANDARD,2024-04-11,1499,0.8,ACTIVE
BP100172,CA200171,BASIC,2024-02-10,499,0.5,CHURNED
BP100173,CA200172,ENTERPRISE,2024-04-16,9999,1.5,ACTIVE
BP100174,CA200173,BASIC,2024-04-20,499,0.5,ACTIVE
BP100175,CA200174,STANDARD,2024-02-17,1499,0.8,CHURNED
BP100176,CA200175,BASIC,2024-04-09,499,0.5,ACTIVE
BP100177,CA200176,ENTERPRISE,2024-05-04,9999,1.5,ACTIVE
BP100178,CA200177,BASIC,2024-05-07,499,0.5,ACTIVE
BP100179,CA200178,STANDARD,2024-02-17,1499,0.8,ACTIVE
BP100180,CA200179,PREMIUM,2024-01-21,3999,1.2,ACTIVE
BP100181,CA200180,PREMIUM,2024-05-29,3999,1.2,ACTIVE
BP100182,CA200181,STANDARD,2024-04-17,1499,0.8,ACTIVE
BP100183,CA200182,ENTERPRISE,2024-02-25,9999,1.5,CHURNED
BP100184,CA200183,STANDARD,2024-03-30,1499,0.8,ACTIVE
BP100185,CA200184,BASIC,2024-05-12,499,0.5,CHURNED
BP100186,CA200185,BASIC,2024-05-31,499,0.5,ACTIVE
BP100187,CA200186,PREMIUM,2024-05-28,3999,1.2,ACTIVE
BP100188,CA200187,BASIC,2024-04-27,499,0.5,ACTIVE
BP100189,CA200188,BASIC,2024-04-24,499,0.5,ACTIVE
BP100190,CA200189,BASIC,2024-03-14,499,0.5,ACTIVE
BP100191,CA200190,STANDARD,2024-02-29,1499,0.8,ACTIVE
BP100192,CA200191,STANDARD,2024-05-17,1499,0.8,ACTIVE
BP100193,CA200192,BASIC,2024-02-15,499,0.5,ACTIVE
BP100194,CA200193,PREMIUM,2024-06-05,3999,1.2,CHURNED
BP100195,CA200194,STANDARD,2024-03-24,1499,0.8,ACTIVE
BP100196,CA200195,STANDARD,2024-04-22,1499,0.8,ACTIVE
BP100197,CA200196,ENTERPRISE,2024-02-06,9999,1.5,ACTIVE
BP100198,CA200197,STANDARD,2024-03-28,1499,0.8,ACTIVE
BP100199,CA200198,PREMIUM,2024-05-24,3999,1.2,ACTIVE
BP100200,CA200199,PREMIUM,2024-01-17,3999,1.2,ACTIVE
BP100201,CA200200,BASIC,2024-04-27,499,0.5,ACTIVE
BP100202,CA200201,STANDARD,2024-02-22,1499,0.8,ACTIVE
BP100203,CA200202,PREMIUM,2024-02-14,3999,1.2,ACTIVE
BP100204,CA200203,STANDARD,2024-05-15,1499,0.8,ACTIVE
BP100205,CA200204,STANDARD,2024-05-19,1499,0.8,ACTIVE
BP100206,CA200205,PREMIUM,2024-02-18,3999,1.2,ACTIVE
BP100207,CA200206,STANDARD,2024-05-31,1499,0.8,CHURNED
BP100208,CA200207,STANDARD,2024-04-07,1499,0.8,CHURNED
BP100209,CA200208,STANDARD,2024-03-09,1499,0.8,CHURNED
BP100210,CA200209,STANDARD,2024-02-13,1499,0.8,ACTIVE
BP100211,CA200210,STANDARD,2024-01-08,1499,0.8,ACTIVE
BP100212,CA200211,BASIC,2024-06-27,499,0.5,ACTIVE
BP100213,CA200212,BASIC,2024-03-31,499,0.5,CHURNED
BP100214,CA200213,STANDARD,2024-01-19,1499,0.8,ACTIVE
BP100215,CA200214,BASIC,2024-06-06,499,0.5,ACTIVE
BP100216,CA200215,STANDARD,2024-03-02,1499,0.8,ACTIVE
BP100217,CA200216,STANDARD,2024-05-02,1499,0.8,ACTIVE
BP100218,CA200217,BASIC,2024-05-17,499,0.5,CHURNED
BP100219,CA200218,STANDARD,2024-06-15,1499,0.8,ACTIVE
BP100220,CA200219,STANDARD,2024-06-26,1499,0.8,CHURNED
BP100221,CA200220,ENTERPRISE,2024-02-24,9999,1.5,ACTIVE
BP100222,CA200221,ENTERPRISE,2024-02-23,9999,1.5,ACTIVE
BP100223,CA200222,BASIC,2024-03-15,499,0.5,ACTIVE
BP100224,CA200223,BASIC,2024-06-06,499,0.5,ACTIVE
BP100225,CA200224,BASIC,2024-02-12,499,0.5,ACTIVE
BP100226,CA200225,PREMIUM,2024-05-25,3999,1.2,ACTIVE
BP100227,CA200226,STANDARD,2024-03-20,1499,0.8,ACTIVE
BP100228,CA200227,BASIC,2024-06-23,499,0.5,ACTIVE
BP100229,CA200228,STANDARD,2024-03-10,1499,0.8,ACTIVE
BP100230,CA200229,PREMIUM,2024-03-05,3999,1.2,ACTIVE
BP100231,CA200230,STANDARD,2024-06-26,1499,0.8,ACTIVE
BP100232,CA200231,STANDARD,2024-05-20,1499,0.8,ACTIVE
BP100233,CA200232,STANDARD,2024-03-30,1499,0.8,ACTIVE
BP100234,CA200233,BASIC,2024-05-25,499,0.5,ACTIVE
BP100235,CA200234,ENTERPRISE,2024-02-15,9999,1.5,ACTIVE
BP100236,CA200235,BASIC,2024-01-18,499,0.5,ACTIVE
BP100237,CA200236,STANDARD,2024-04-14,1499,0.8,ACTIVE
BP100238,CA200237,PREMIUM,2024-03-16,3999,1.2,CHURNED
BP100239,CA200238,BASIC,2024-06-07,499,0.5,ACTIVE
BP100240,CA200239,STANDARD,2024-05-30,1499,0.8,ACTIVE
BP100241,CA200240,BASIC,2024-06-24,499,0.5,ACTIVE
BP100242,CA200241,BASIC,2024-01-21,499,0.5,CHURNED
BP100243,CA200242,STANDARD,2024-06-04,1499,0.8,CHURNED
BP100244,CA200243,BASIC,2024-04-10,499,0.5,ACTIVE
BP100245,CA200244,BASIC,2024-02-17,499,0.5,ACTIVE
BP100246,CA200245,STANDARD,2024-05-15,1499,0.8,ACTIVE
BP100247,CA200246,STANDARD,2024-06-19,1499,0.8,ACTIVE
BP100248,CA200247,BASIC,2024-01-05,499,0.5,ACTIVE
BP100249,CA200248,BASIC,2024-04-25,499,0.5,ACTIVE
BP100250,CA200249,STANDARD,2024-03-14,1499,0.8,ACTIVE
BP100251,CA200250,STANDARD,2024-02-25,1499,0.8,ACTIVE
BP100252,CA200251,BASIC,2024-04-07,499,0.5,CHURNED
BP100253,CA200252,BASIC,2024-05-14,499,0.5,ACTIVE
BP100254,CA200253,ENTERPRISE,2024-03-16,9999,1.5,ACTIVE
BP100255,CA200254,PREMIUM,2024-03-14,3999,1.2,ACTIVE
BP100256,CA200255,BASIC,2024-03-21,499,0.5,ACTIVE
BP100257,CA200256,STANDARD,2024-06-26,1499,0.8,ACTIVE
BP100258,CA200257,STANDARD,2024-03-05,1499,0.8,ACTIVE
BP100259,CA200258,STANDARD,2024-06-20,1499,0.8,ACTIVE
BP100260,CA200259,STANDARD,2024-04-25,1499,0.8,ACTIVE
BP100261,CA200260,PREMIUM,2024-02-14,3999,1.2,ACTIVE
BP100262,CA200261,STANDARD,2024-01-13,1499,0.8,ACTIVE
BP100263,CA200262,BASIC,2024-02-29,499,0.5,ACTIVE
BP100264,CA200263,STANDARD,2024-01-01,1499,0.8,ACTIVE
BP100265,CA200264,BASIC,2024-02-15,499,0.5,ACTIVE
BP100266,CA200265,ENTERPRISE,2024-01-24,9999,1.5,ACTIVE
BP100267,CA200266,ENTERPRISE,2024-02-28,9999,1.5,ACTIVE
BP100268,CA200267,STANDARD,2024-05-14,1499,0.8,ACTIVE
BP100269,CA200268,STANDARD,2024-03-06,1499,0.8,ACTIVE
BP100270,CA200269,STANDARD,2024-01-08,1499,0.8,ACTIVE
BP100271,CA200270,BASIC,2024-01-12,499,0.5,CHURNED
BP100272,CA200271,PREMIUM,2024-01-20,3999,1.2,ACTIVE
BP100273,CA200272,PREMIUM,2024-04-20,3999,1.2,ACTIVE
BP100274,CA200273,STANDARD,2024-04-24,1499,0.8,ACTIVE
BP100275,CA200274,BASIC,2024-02-23,499,0.5,ACTIVE
BP100276,CA200275,STANDARD,2024-06-03,1499,0.8,CHURNED
BP100277,CA200276,STANDARD,2024-03-18,1499,0.8,ACTIVE
BP100278,CA200277,BASIC,2024-03-13,499,0.5,ACTIVE
BP100279,CA200278,BASIC,2024-03-08,499,0.5,ACTIVE
BP100280,CA200279,PREMIUM,2024-01-13,3999,1.2,ACTIVE
BP100281,CA200280,ENTERPRISE,2024-05-14,9999,1.5,ACTIVE
BP100282,CA200281,STANDARD,2024-04-16,1499,0.8,ACTIVE
BP100283,CA200282,STANDARD,2024-06-07,1499,0.8,ACTIVE
BP100284,CA200283,PREMIUM,2024-06-24,3999,1.2,ACTIVE
BP100285,CA200284,ENTERPRISE,2024-01-29,9999,1.5,ACTIVE
BP100286,CA200285,ENTERPRISE,2024-06-02,9999,1.5,ACTIVE
BP100287,CA200286,STANDARD,2024-02-10,1499,0.8,ACTIVE
BP100288,CA200287,STANDARD,2024-05-28,1499,0.8,ACTIVE
BP100289,CA200288,STANDARD,2024-04-29,1499,0.8,ACTIVE
BP100290,CA200289,BASIC,2024-02-25,499,0.5,ACTIVE
BP100291,CA200290,BASIC,2024-01-26,499,0.5,ACTIVE
BP100292,CA200291,BASIC,2024-01-06,499,0.5,ACTIVE
BP100293,CA200292,ENTERPRISE,2024-01-29,9999,1.5,ACTIVE
BP100294,CA200293,STANDARD,2024-04-12,1499,0.8,ACTIVE
BP100295,CA200294,STANDARD,2024-01-29,1499,0.8,CHURNED
BP100296,CA200295,PREMIUM,2024-03-17,3999,1.2,ACTIVE
BP100297,CA200296,ENTERPRISE,2024-01-21,9999,1.5,ACTIVE
BP100298,CA200297,BASIC,2024-04-17,499,0.5,ACTIVE
BP100299,CA200298,STANDARD,2024-04-18,1499,0.8,CHURNED
BP100300,CA200299,STANDARD,2024-05-18,1499,0.8,ACTIVE
BP100301,CA200300,PREMIUM,2024-03-31,3999,1.2,CHURNED
BP100302,CA200301,BASIC,2024-05-07,499,0.5,ACTIVE
BP100303,CA200302,BASIC,2024-03-12,499,0.5,ACTIVE
BP100304,CA200303,ENTERPRISE,2024-06-05,9999,1.5,ACTIVE
BP100305,CA200304,STANDARD,2024-02-22,1499,0.8,ACTIVE
BP100306,CA200305,ENTERPRISE,2024-05-25,9999,1.5,ACTIVE
BP100307,CA200306,PREMIUM,2024-03-20,3999,1.2,ACTIVE
BP100308,CA200307,BASIC,2024-03-13,499,0.5,ACTIVE
BP100309,CA200308,BASIC,2024-05-14,499,0.5,ACTIVE
BP100310,CA200309,STANDARD,2024-01-14,1499,0.8,ACTIVE
BP100311,CA200310,BASIC,2024-03-04,499,0.5,CHURNED
BP100312,CA200311,ENTERPRISE,2024-01-19,9999,1.5,ACTIVE
BP100313,CA200312,BASIC,2024-05-17,499,0.5,ACTIVE
BP100314,CA200313,STANDARD,2024-03-24,1499,0.8,CHURNED
BP100315,CA200314,BASIC,2024-04-12,499,0.5,ACTIVE
BP100316,CA200315,STANDARD,2024-02-27,1499,0.8,ACTIVE
BP100317,CA200316,PREMIUM,2024-02-24,3999,1.2,ACTIVE
BP100318,CA200317,STANDARD,2024-01-14,1499,0.8,ACTIVE
BP100319,CA200318,BASIC,2024-05-30,499,0.5,ACTIVE
BP100320,CA200319,PREMIUM,2024-04-21,3999,1.2,CHURNED
BP100321,CA200320,ENTERPRISE,2024-05-13,9999,1.5,CHURNED
BP100322,CA200321,BASIC,2024-04-27,499,0.5,ACTIVE
BP100323,CA200322,STANDARD,2024-06-22,1499,0.8,ACTIVE
BP100324,CA200323,BASIC,2024-03-03,499,0.5,CHURNED
BP100325,CA200324,BASIC,2024-05-08,499,0.5,ACTIVE
BP100326,CA200325,BASIC,2024-03-06,499,0.5,CHURNED
BP100327,CA200326,BASIC,2024-05-02,499,0.5,ACTIVE
BP100328,CA200327,PREMIUM,2024-03-01,3999,1.2,ACTIVE
BP100329,CA200328,STANDARD,2024-02-21,1499,0.8,ACTIVE
BP100330,CA200329,STANDARD,2024-01-28,1499,0.8,ACTIVE
BP100331,CA200330,PREMIUM,2024-06-14,3999,1.2,ACTIVE
BP100332,CA200331,STANDARD,2024-03-11,1499,0.8,ACTIVE
BP100333,CA200332,BASIC,2024-04-26,499,0.5,ACTIVE
BP100334,CA200333,STANDARD,2024-05-30,1499,0.8,CHURNED
BP100335,CA200334,PREMIUM,2024-05-01,3999,1.2,ACTIVE
BP100336,CA200335,STANDARD,2024-02-08,1499,0.8,ACTIVE
BP100337,CA200336,ENTERPRISE,2024-01-29,9999,1.5,ACTIVE
BP100338,CA200337,PREMIUM,2024-05-19,3999,1.2,ACTIVE
BP100339,CA200338,BASIC,2024-05-18,499,0.5,ACTIVE
BP100340,CA200339,ENTERPRISE,2024-01-30,9999,1.5,ACTIVE
BP100341,CA200340,ENTERPRISE,2024-03-20,9999,1.5,ACTIVE
BP100342,CA200341,STANDARD,2024-06-24,1499,0.8,ACTIVE
BP100343,CA200342,STANDARD,2024-04-06,1499,0.8,ACTIVE
BP100344,CA200343,PREMIUM,2024-06-12,3999,1.2,ACTIVE
BP100345,CA200344,STANDARD,2024-06-27,1499,0.8,ACTIVE
BP100346,CA200345,BASIC,2024-04-01,499,0.5,ACTIVE
BP100347,CA200346,PREMIUM,2024-05-25,3999,1.2,ACTIVE
BP100348,CA200347,STANDARD,2024-04-26,1499,0.8,ACTIVE
BP100349,CA200348,ENTERPRISE,2024-06-02,9999,1.5,ACTIVE
BP100350,CA200349,STANDARD,2024-02-19,1499,0.8,ACTIVE
BP100351,CA200350,BASIC,2024-02-10,499,0.5,ACTIVE
BP100352,CA200351,STANDARD,2024-03-16,1499,0.8,ACTIVE
BP100353,CA200352,PREMIUM,2024-06-29,3999,1.2,ACTIVE
BP100354,CA200353,ENTERPRISE,2024-01-18,9999,1.5,ACTIVE
BP100355,CA200354,PREMIUM,2024-02-21,3999,1.2,CHURNED
BP100356,CA200355,STANDARD,2024-05-07,1499,0.8,ACTIVE
BP100357,CA200356,STANDARD,2024-01-04,1499,0.8,ACTIVE
BP100358,CA200357,BASIC,2024-06-19,499,0.5,ACTIVE
BP100359,CA200358,BASIC,2024-02-24,499,0.5,ACTIVE
BP100360,CA200359,PREMIUM,2024-05-23,3999,1.2,ACTIVE
BP100361,CA200360,BASIC,2024-03-31,499,0.5,ACTIVE
BP100362,CA200361,ENTERPRISE,2024-01-26,9999,1.5,ACTIVE
BP100363,CA200362,PREMIUM,2024-04-13,3999,1.2,ACTIVE
BP100364,CA200363,STANDARD,2024-04-04,1499,0.8,ACTIVE
BP100365,CA200364,ENTERPRISE,2024-04-01,9999,1.5,ACTIVE
BP100366,CA200365,BASIC,2024-04-25,499,0.5,ACTIVE
BP100367,CA200366,ENTERPRISE,2024-05-22,9999,1.5,ACTIVE
BP100368,CA200367,STANDARD,2024-01-19,1499,0.8,ACTIVE
BP100369,CA200368,BASIC,2024-04-08,499,0.5,ACTIVE
BP100370,CA200369,BASIC,2024-05-05,499,0.5,ACTIVE
BP100371,CA200370,STANDARD,2024-06-19,1499,0.8,ACTIVE
BP100372,CA200371,PREMIUM,2024-05-23,3999,1.2,ACTIVE
BP100373,CA200372,STANDARD,2024-04-03,1499,0.8,ACTIVE
BP100374,CA200373,STANDARD,2024-02-21,1499,0.8,ACTIVE
BP100375,CA200374,BASIC,2024-02-19,499,0.5,ACTIVE
BP100376,CA200375,STANDARD,2024-03-20,1499,0.8,ACTIVE
BP100377,CA200376,BASIC,2024-05-05,499,0.5,ACTIVE
